"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Sean Rodriguez","","71","186","160","35","4","1","5","22","15","20","66","3","1","1",".219",".315",".350",".665",".290","3.0","-0.3","0.4","999.0","6589"
"Justin Upton","Angels","113","464","410","91","17","0","23","59","75","43","139","7","4","3",".222",".304",".432",".736",".311","-3.0","-0.7","0.4","400.2","5222"
"Jay Bruce","","100","370","340","79","17","2","20","43","67","27","91","1","1","0",".232",".289",".471",".760",".313","1.0","0.1","0.4","599.5","9892"
"Drew Ferguson","Mets","108","460","403","91","18","3","10","54","40","46","124","8","15","6",".226",".316",".360",".676",".294","-3.0","0.1","0.4","999.0","sa875766"
"Domingo Santana","","124","470","408","97","20","1","20","54","66","56","157","3","6","2",".238",".332",".439",".771",".327","-7.0","0.1","0.4","999.0","10348"
"Jarren Duran","","129","567","527","141","22","8","5","59","39","31","125","5","33","11",".268",".313",".368",".681",".293","-2.0","1.5","0.4","999.0","sa3006786"
"Anthony Garcia","","109","436","388","94","19","1","16","52","60","37","99","7","3","3",".242",".317",".420",".737",".312","-2.0","-0.9","0.4","999.0","sa502038"
"Oscar Mercado","Indians","134","523","476","115","22","3","11","61","48","33","117","5","23","8",".242",".295",".370",".665",".285","2.0","0.9","0.4","367.8","16375"
"Jarrod Dyson","","99","310","277","60","6","2","4","42","22","27","56","3","24","3",".217",".292",".296",".588",".260","4.0","3.3","0.4","999.0","4866"
"Erick Mejia","Royals","126","513","468","108","21","4","5","53","38","33","114","2","17","7",".231",".283",".325",".607",".264","7.0","0.1","0.4","999.0","15817"
"Delino DeShields","","123","440","385","89","15","4","5","52","25","40","113","2","20","6",".231",".305",".330",".635",".279","4.0","1.2","0.3","599.5","11379"
"Rafael Ortega","","137","526","480","118","25","6","11","58","51","43","94","1","14","6",".246",".309",".392",".700",".299","-3.0","-0.1","0.3","999.0","10323"
"Andrew Stevenson","Nationals","128","447","407","107","21","5","9","53","49","31","116","4","12","4",".263",".320",".405",".725",".309","-5.0","0.4","0.3","519.7","17932"
"D.J. Stewart","Orioles","119","474","407","92","19","1","20","58","67","53","123","7","7","4",".226",".323",".425",".748",".318","-5.0","-0.6","0.3","556.8","17766"
"Scott Kingery","Phillies","133","508","467","107","25","3","16","60","53","31","142","5","10","3",".229",".283",".398",".681",".287","2.0","0.5","0.3","332.3","17975"
"Michael Gettys","","128","533","494","105","25","6","18","63","72","31","204","4","14","7",".213",".263",".397",".660",".276","7.0","-0.4","0.3","999.0","sa828692"
"Mike Gerber","","119","488","448","114","30","3","20","62","69","33","148","4","4","3",".254",".310",".469",".779",".326","-4.0","-0.7","0.3","999.0","16115"
"Kean Wong","","128","545","503","126","22","3","9","57","48","32","121","5","8","5",".250",".301",".360",".661",".284","-1.0","-0.9","0.3","999.0","15994"
"Chas McCormick","Astros","117","468","415","101","13","4","9","51","40","43","80","4","13","4",".243",".316",".359",".675",".293","1.0","0.6","0.3","999.0","sa3004174"
"Pablo Reyes","Brewers","131","456","415","98","20","3","13","52","53","33","99","3","9","6",".236",".296",".393",".689",".294","8.0","-1.0","0.3","999.0","16357"
"Josh Rojas","Diamondbacks","128","542","485","119","25","4","13","65","50","49","116","3","18","8",".245",".315",".394",".709",".303","3.0","-0.2","0.3","596.3","19734"
"Garrett Hampson","Rockies","132","513","465","121","18","7","11","64","39","39","127","1","25","6",".260",".317",".400",".717",".306","1.0","2.1","0.3","268.2","19262"
"Hernan Perez","Cubs","121","364","341","86","15","2","10","39","38","19","74","0","10","2",".252",".290",".396",".686",".290","0.0","1.0","0.3","999.0","5751"
"Steven Kwan","Indians","134","585","536","137","26","8","4","61","39","41","69","3","10","7",".256",".310",".356",".666",".287","2.0","-1.4","0.3","999.0","sa3008536"
"Brent Rooker","Twins","101","416","374","87","19","1","19","53","58","32","137","8","2","1",".233",".305",".441",".746",".314","-4.0","-0.2","0.2","584.0","19627"
"Austin Dean","Cardinals","129","477","436","114","25","3","15","56","61","34","98","3","3","3",".261",".317",".436",".753",".317","-5.0","-0.9","0.2","999.0","18288"
"Aristides Aquino","Reds","123","460","419","94","16","3","25","56","77","33","145","6","7","3",".224",".289",".456",".745",".309","1.0","-0.1","0.2","576.6","15482"
"Tyler Naquin","","104","356","334","84","18","2","10","39","44","16","90","2","3","3",".251",".287",".407",".695",".291","6.0","-0.9","0.2","600.1","13359"
"Brandon Marsh","Angels","126","551","503","109","19","3","11","54","47","44","165","2","16","6",".217",".281",".332",".613",".265","6.0","0.3","0.2","548.4","sa917944"
"Jose Martinez","Mets","133","425","388","100","18","1","13","48","62","34","95","1","2","0",".258",".318",".410",".727",".310","-3.0","0.2","0.2","999.0","7996"
"Howie Kendrick","","103","357","327","97","17","0","10","45","51","22","54","3","2","1",".297",".342",".440",".782",".328","-2.0","-0.2","0.2","999.0","4229"
"Scott Schebler","","105","396","355","79","16","1","13","43","48","31","95","7","2","3",".223",".295",".383",".679",".289","-2.0","-1.1","0.2","999.0","12225"
"Andrew Velazquez","","113","364","332","73","13","3","8","42","35","25","105","2","14","6",".220",".279",".349",".628",".271","4.0","0.0","0.2","999.0","14196"
"Travis Swaggerty","Pirates","126","543","490","112","18","3","10","61","42","45","142","2","19","10",".229",".295",".339",".634",".276","6.0","-0.8","0.2","999.0","sa3007512"
"Tyler O'Neill","Cardinals","122","421","383","87","15","1","21","57","60","32","132","3","7","2",".227",".290",".436",".726",".305","-1.0","0.3","0.2","490.0","15711"
"Tyrone Taylor","Brewers","115","390","359","84","19","3","14","45","47","22","91","5","5","1",".234",".285",".421",".706",".297","4.0","0.4","0.2","600.8","13675"
"Nick Martini","","109","441","389","99","18","3","6","50","38","46","95","3","3","1",".254",".336",".362",".698",".304","1.0","-0.1","0.2","999.0","12005"
"Greg Allen","Yankees","125","420","375","87","16","3","8","50","40","24","95","14","19","5",".232",".300",".355",".655",".284","4.0","1.4","0.2","999.0","16623"
"Jake Bauers","Indians","139","559","489","111","28","2","16","66","64","62","152","3","13","6",".227",".315",".391",".706",".304","0.0","-0.3","0.2","577.5","15194"
"Luis Liberato","Mariners","112","463","427","88","15","4","12","46","45","29","138","1","5","5",".206",".257",".344",".601",".256","9.0","-1.4","0.1","999.0","sa737020"
"Mark Payton","Reds","99","363","328","81","17","3","12","41","39","30","80","1","5","4",".247",".309",".427",".736",".310","1.0","-0.9","0.1","999.0","16042"
"Derek Dietrich","","126","407","349","79","15","2","14","49","47","34","104","22","2","2",".226",".332",".401",".733",".316","-7.0","-0.7","0.1","999.0","10542"
"Ryan McKenna","Orioles","136","575","514","120","23","5","12","66","54","47","141","6","15","10",".233",".304",".368",".672",".290","-2.0","-1.6","0.1","999.0","sa875055"
"Ryan Braun","","118","422","389","98","23","3","17","48","65","24","89","6","5","1",".252",".303",".458",".761",".317","-1.0","0.4","0.1","588.0","3410"
"Chris Owings","","109","366","337","84","17","2","12","45","43","24","99","2","11","4",".249",".301",".418",".720",".303","2.0","0.3","0.1","999.0","10030"
"Yoenis Cespedes","","63","256","233","53","10","1","12","28","39","18","75","3","1","0",".227",".289",".433",".723",".299","0.0","0.1","0.1","600.5","13110"
"Ryan Boldt","","74","311","287","65","11","3","4","30","27","18","82","4","9","3",".226",".280",".328",".607",".262","8.0","0.3","0.1","999.0","sa738262"
"Seth Beer","","133","584","523","135","24","0","23","70","69","37","137","21","1","4",".258",".330",".436",".766",".325","-4.0","-1.9","0.1","597.6","sa3006658"
"Michael Gigliotti","","69","308","273","60","11","2","3","30","22","24","75","5","17","8",".220",".293",".308",".600",".265","3.0","-0.2","0.1","999.0","sa915700"
"Matt Beaty","Dodgers","109","365","336","86","20","1","10","44","50","21","61","7","3","1",".256",".312",".411",".723",".307","0.0","0.0","0.1","999.0","17710"
"Mason Williams","","122","447","414","104","14","4","10","46","40","27","91","1","6","7",".251",".297",".377",".674",".287","0.0","-2.1","0.1","999.0","11859"
"Jose Osuna","","130","405","374","93","26","1","13","48","51","25","76","2","2","2",".249",".296",".428",".724",".304","-6.0","-0.6","0.1","999.0","12937"
"Pavin Smith","Diamondbacks","117","480","430","112","20","4","11","54","44","44","80","1","3","1",".260",".327",".402",".729",".311","1.0","-0.1","0.1","593.8","19892"
"Juan Lagares","","113","268","246","57","11","2","3","33","20","16","61","3","4","2",".232",".286",".329",".615",".264","4.0","-0.2","0.1","999.0","5384"
"Braden Bishop","Mariners","91","377","342","73","16","1","6","38","32","26","97","5","6","2",".213",".278",".319",".597",".261","4.0","0.2","0.1","999.0","17806"
"Drew Waters","","134","578","540","127","34","8","11","59","55","31","187","4","12","6",".235",".280",".389",".669",".282","12.0","-0.4","0.1","568.2","sa3004378"
"Harold Castro","Tigers","121","441","418","115","15","3","5","41","36","16","88","1","5","5",".275",".301",".361",".663",".284","0.0","-1.4","0.1","600.8","14691"
"Matt Szczur","","83","200","176","41","9","1","5","25","23","20","42","1","1","2",".233",".312",".381",".692",".298","2.0","-0.8","0.0","999.0","11255"
"David Dahl","Rangers","108","430","393","99","18","6","16","52","50","29","127","3","5","3",".252",".305",".450",".756",".315","-2.0","-0.5","0.0","318.0","13744"
"Boog Powell","","102","389","339","81","16","1","6","48","28","44","101","1","11","4",".239",".326",".345",".671",".295","-2.0","0.2","0.0","999.0","15103"
"Adam Haseley","Phillies","126","462","415","103","19","2","9","50","52","33","105","7","5","3",".248",".312",".369",".681",".293","-2.0","-0.5","0.0","595.2","19878"
"John Andreoli","","111","471","409","86","20","3","9","51","41","55","143","3","12","4",".210",".306",".340",".646",".283","7.0","0.4","0.0","999.0","13012"
"Hunter Cole","","80","313","287","67","13","3","10","34","35","23","91","1","1","2",".233",".291",".404",".695",".293","5.0","-0.8","0.0","999.0","sa603087"
"Jordan Patterson","","115","460","415","92","21","2","17","54","50","27","146","14","3","2",".222",".290",".405",".695",".294","7.0","-0.5","0.0","999.0","15119"
"Brock Holt","","102","333","294","73","15","1","4","36","29","31","70","5","4","3",".248",".327",".347",".674",".295","-1.0","-0.7","0.0","999.0","9345"
"LaMonte Wade Jr.","Twins","109","430","370","87","16","2","7","47","29","50","78","6","6","3",".235",".333",".346",".679",".299","-1.0","-0.4","0.0","999.0","18126"
"Chase Calabuig","","117","493","438","102","16","2","6","47","31","48","117","4","6","4",".233",".312",".320",".632",".279","5.0","-0.8","0.0","999.0","sa3006927"
"Joey Rickard","","120","379","343","80","18","2","6","39","31","28","82","5","5","2",".233",".299",".350",".649",".281","5.0","-0.1","0.0","999.0","13277"
"Jimmy Kerrigan","Twins","108","423","395","87","15","1","13","41","41","16","137","8","8","6",".220",".263",".362",".625",".265","6.0","-1.2","0.0","999.0","sa3005235"
"Cole Tucker","Pirates","133","510","463","105","21","5","7","60","39","38","122","3","11","4",".227",".288",".339",".627",".271","1.0","0.2","0.0","598.9","17326"
"Gilberto Celestino","Twins","132","563","523","123","25","2","12","54","49","34","117","4","16","10",".235",".286",".359",".645",".277","2.0","-1.4","0.0","999.0","sa914313"
"Orlando Martinez","","88","412","385","83","16","2","11","41","40","22","102","1","5","6",".216",".257",".353",".611",".258","7.0","-1.8","0.0","999.0","sa3006664"
