"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Wynston Sawyer","","65","247","223","49","12","0","5","25","23","17","71","6","0","1",".220",".291",".341",".632",".276","-5.0","-0.6","-0.2","999.0","sa548430"
"Oscar Hernandez","","61","208","192","38","8","0","5","20","16","11","55","2","1","0",".198",".248",".318",".565",".244","1.0","0.1","-0.2","999.0","13490"
"Juan Graterol","","78","261","247","58","9","0","1","21","19","8","26","3","0","1",".235",".265",".283",".549",".240","2.0","-0.6","-0.2","999.0","5398"
"Ivan Herrera","Cardinals","75","311","280","61","8","1","8","33","27","23","76","5","1","1",".218",".286",".339",".625",".270","-4.0","-0.4","-0.2","999.0","sa3003191"
"Jake Lowery","","26","86","76","13","3","0","2","8","7","10","32","0","0","0",".171",".267",".289",".557",".249","-1.0","0.0","-0.3","999.0","sa597837"
"Matt Whatley","","84","330","294","60","10","1","4","31","23","26","85","5","9","5",".204",".278",".286",".564",".251","4.0","-0.5","-0.3","999.0","sa915868"
"William Contreras","Braves","107","401","376","85","19","1","9","37","37","21","105","3","0","0",".226",".272",".354",".626",".267","-2.0","-0.2","-0.3","999.0","20503"
"Mike Rivera","","46","170","152","26","8","1","2","14","12","14","42","2","1","1",".171",".249",".276",".525",".232","2.0","-0.3","-0.3","999.0","sa829667"
"Andrew Susac","Pirates","57","208","178","33","7","0","6","21","19","27","60","1","1","1",".185",".293",".326",".619",".272","-4.0","-0.3","-0.3","999.0","13132"
"Luke Maile","Brewers","74","234","215","43","9","1","4","20","22","16","58","1","1","0",".200",".258",".307",".564",".246","1.0","0.1","-0.4","999.0","13355"
"Stephen Vogt","Diamondbacks","99","307","279","62","20","1","9","28","39","25","68","0","1","0",".222",".283",".398",".681",".288","-9.0","0.1","-0.4","590.8","5000"
"Erick Castillo","","49","159","145","30","5","0","1","12","10","9","33","2","0","0",".207",".261",".262",".523",".233","1.0","-0.1","-0.4","999.0","sa658211"
"Blake Swihart","","83","263","240","48","7","1","7","30","27","21","78","1","2","1",".200",".266",".325",".591",".257","0.0","-0.2","-0.4","999.0","13176"
"Jose Lobaton","","81","302","276","57","13","1","7","27","28","22","85","2","1","0",".207",".268",".337",".605",".260","-2.0","0.1","-0.4","999.0","4243"
"Steven Baron","","68","231","212","42","6","0","3","19","14","15","63","3","0","0",".198",".261",".269",".530",".236","2.0","-0.1","-0.4","999.0","9787"
"Arden Pabst","Pirates","82","305","286","55","12","3","6","25","27","13","88","1","0","2",".192",".228",".318",".547",".231","6.0","-1.0","-0.4","999.0","sa858812"
"Cameron Rupp","","82","313","283","55","12","0","11","30","32","25","110","3","0","0",".194",".265",".353",".619",".266","-4.0","-0.1","-0.4","999.0","11146"
"Nick Hutchins","","57","231","216","44","12","0","4","20","19","8","69","4","1","1",".204",".243",".315",".558",".238","1.0","-0.3","-0.4","999.0","sa3004395"
"Austin Bernard","","65","252","220","38","8","2","5","24","17","27","93","3","2","1",".173",".271",".295",".566",".252","4.0","-0.2","-0.4","999.0","sa3004510"
"MJ Melendez","","119","464","422","66","22","3","15","40","54","34","209","4","5","6",".156",".225",".329",".554",".236","8.0","-1.8","-0.4","999.0","sa3004139"
"Rocky Gale","Reds","85","309","290","63","10","1","4","26","21","12","67","2","1","1",".217",".251",".300",".551",".238","5.0","-0.4","-0.4","999.0","10533"
"Chuckie Robinson","Reds","102","411","385","77","17","1","11","39","37","21","133","4","5","2",".200",".248",".335",".583",".250","3.0","0.0","-0.5","999.0","sa918471"
"Josh Phegley","","89","265","241","54","12","1","8","33","40","14","50","5","0","1",".224",".277",".382",".658",".279","-7.0","-0.5","-0.5","999.0","9308"
"Jack Conley","Phillies","36","117","103","19","4","0","2","12","8","10","34","2","1","0",".184",".267",".282",".549",".245","-3.0","0.1","-0.5","999.0","sa3006857"
"Wilkin Castillo","","64","231","216","43","8","1","3","18","19","12","40","1","3","1",".199",".245",".287",".532",".230","1.0","0.1","-0.5","999.0","5124"
"Sal Giardina","","58","193","172","34","7","0","2","16","12","9","60","9","0","0",".198",".271",".273",".544",".244","-1.0","-0.1","-0.5","999.0","sa829575"
"Juan Centeno","","89","325","298","72","14","1","3","29","25","18","56","4","2","0",".242",".292",".326",".617",".268","-6.0","0.2","-0.5","999.0","7168"
"Gavin Collins","","100","393","364","79","19","1","9","38","40","21","80","4","1","3",".217",".265",".349",".614",".263","-3.0","-1.3","-0.5","999.0","sa857219"
"Logan Brown","","80","306","291","60","10","1","2","23","19","12","80","3","0","1",".206",".245",".268",".513",".225","6.0","-0.6","-0.6","999.0","sa3006938"
"Wilson Garcia","","111","451","432","111","25","1","18","49","63","14","67","1","0","0",".257",".280",".444",".724",".300","-1.0","-0.2","-0.6","999.0","sa596287"
"Mark Kolozsvary","","72","267","237","39","9","1","4","23","17","21","98","8","1","2",".165",".255",".262",".516",".233","3.0","-0.8","-0.7","999.0","sa3004996"
