"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Cody Bellinger","Dodgers","156","648","561","153","29","5","38","99","123","82","137","2","17","3",".273",".366",".545",".911",".371","2.0","1.8","5.4","15.9","15998"
"Freddie Freeman","Braves","143","625","533","158","39","2","28","98","111","82","112","7","6","3",".296",".395",".535",".930",".384","3.0","-0.5","4.0","12.1","5361"
"Matt Olson","Athletics","144","594","514","122","22","1","39","81","109","71","174","7","2","0",".237",".337",".512",".848",".351","8.0","0.1","3.5","84.9","14344"
"Pete Alonso","Mets","144","616","536","132","24","1","41","81","110","61","164","16","2","2",".246",".339",".524",".864",".356","0.0","-0.8","2.7","57.0","19251"
"Luke Voit","Yankees","130","509","448","121","21","1","31","77","97","52","128","8","0","0",".270",".356",".529",".885",".369","-2.0","-0.3","2.6","58.8","14811"
"Max Muncy","Dodgers","136","535","442","107","18","1","29","82","99","84","139","6","4","1",".242",".368",".484",".852",".359","0.0","0.0","2.5","93.7","13301"
"Rhys Hoskins","Phillies","145","629","520","125","30","2","32","93","112","95","157","10","4","2",".240",".366",".490",".856",".361","-1.0","-0.4","2.5","162.9","16472"
"Anthony Rizzo","Cubs","138","592","497","130","24","2","24","73","85","68","89","22","7","3",".262",".372",".463",".834",".352","4.0","-0.3","2.4","103.3","3473"
"Paul Goldschmidt","Cardinals","142","599","517","135","26","2","23","79","72","76","144","4","5","2",".261",".359",".453",".812",".344","2.0","-0.2","2.1","96.8","9218"
"Jose Abreu","White Sox","135","589","540","148","32","2","29","74","112","33","134","10","1","1",".274",".324",".502",".826",".341","-2.0","-0.5","1.8","36.5","15676"
"Dominic Smith","Mets","149","541","494","134","33","2","21","68","80","38","128","6","1","1",".271",".329",".474",".803",".337","-2.0","-0.5","1.7","101.7","15653"
"Rowdy Tellez","Blue Jays","132","497","448","117","26","0","27","67","84","39","114","5","2","3",".261",".324",".500",".824",".340","1.0","-1.1","1.6","266.0","15679"
"Trey Mancini","Orioles","127","527","481","133","25","3","24","64","77","36","119","6","1","0",".277",".332",".491",".823",".343","-5.0","-0.1","1.6","167.8","15149"
"C.J. Cron","Tigers","121","475","426","108","22","1","27","57","76","35","112","11","1","1",".254",".324",".500",".824",".342","1.0","-0.5","1.6","418.5","12546"
"Wil Myers","Padres","135","511","458","114","25","3","25","65","84","48","149","3","12","4",".249",".323",".480",".803",".336","-1.0","0.4","1.6","127.1","10047"
"Brandon Belt","Giants","120","469","401","98","23","2","15","56","58","64","108","2","2","1",".244",".350",".424",".774",".331","5.0","-0.3","1.5","389.4","10264"
"Carlos Santana","Royals","124","526","440","110","21","1","17","68","62","80","81","3","2","1",".250",".367",".418",".785",".337","1.0","-0.4","1.4","289.6","2396"
"Austin Nola","Padres","115","430","378","93","19","2","10","49","54","41","86","6","2","1",".246",".326",".386",".713",".306","-1.0","-0.3","1.4","159.8","15941"
"Ryan Mountcastle","Orioles","125","524","490","141","24","2","21","61","82","26","118","3","1","1",".288",".324",".473",".798",".333","1.0","-0.5","1.3","140.1","18373"
"Matt Carpenter","Cardinals","124","491","411","90","22","1","16","65","56","67","131","9","2","1",".219",".338",".394",".732",".315","-2.0","-0.3","1.2","557.6","8090"
"Tomas Telis","","103","376","352","98","17","2","5","40","36","18","41","3","1","1",".278",".317",".381",".698",".299","1.0","-0.4","1.2","999.0","10067"
"Jared Walsh","Angels","124","495","450","110","24","3","26","65","84","34","142","6","0","0",".244",".303",".484",".787",".326","1.0","-0.2","1.2","211.2","18607"
"Wilmer Flores","Giants","132","460","427","117","25","1","16","52","65","24","62","4","1","0",".274",".315",".450",".765",".320","-4.0","0.0","1.2","313.7","5827"
"Hunter Dozier","Royals","134","553","491","120","26","5","21","69","64","58","147","2","6","2",".244",".325",".446",".772",".326","-2.0","0.1","1.2","234.2","15117"
"Victor Caratini","Padres","116","366","323","80","17","1","8","38","50","34","77","6","0","1",".248",".328",".381",".709",".305","-1.0","-0.6","1.1","474.8","14968"
"Christian Walker","Diamondbacks","142","567","508","131","31","3","23","78","79","48","138","6","4","1",".258",".326",".467",".793",".332","1.0","0.1","1.1","202.8","13419"
"Nate Lowe","Rangers","131","526","463","120","22","1","23","67","64","58","137","3","3","1",".259",".344",".460",".804",".338","0.0","-0.1","1.0","327.4","19566"
"Josh Bell","Nationals","144","580","507","132","25","3","27","76","102","64","131","3","1","2",".260",".343",".481",".824",".341","-3.0","-1.0","0.9","161.8","13145"
"Daniel Vogelbach","Brewers","128","490","414","99","18","0","24","64","72","72","120","2","0","0",".239",".353",".457",".810",".344","0.0","-0.3","0.9","573.0","14130"
"Ji-Man Choi","Rays","116","427","363","89","21","1","15","48","54","54","103","4","2","1",".245",".344",".433",".777",".329","-2.0","-0.3","0.9","530.4","5452"
"Marwin Gonzalez","","127","488","438","112","22","1","15","51","62","39","97","6","2","1",".256",".323",".413",".736",".313","2.0","-0.3","0.9","487.3","5497"
"Garrett Cooper","Marlins","109","424","381","100","19","0","15","52","58","36","99","5","0","0",".262",".333",".430",".763",".326","1.0","-0.2","0.8","434.6","15279"
"John Nogowski","Cardinals","100","401","352","91","15","1","8","47","38","40","51","5","1","2",".259",".339",".375",".714",".311","7.0","-0.9","0.8","999.0","16852"
"Mike Ford","Yankees","115","432","380","90","20","0","20","56","68","44","85","5","0","0",".237",".322",".447",".769",".324","0.0","-0.2","0.8","599.5","15585"
"Kevin Cron","","111","433","385","91","19","1","24","56","71","37","129","7","1","1",".236",".312",".478",".790",".328","2.0","-0.4","0.7","999.0","16211"
"Bobby Dalbec","Red Sox","121","502","442","97","19","1","26","59","63","48","197","9","3","4",".219",".307",".443",".750",".315","6.0","-1.4","0.7","287.7","19966"
"Edwin Rios","Dodgers","118","429","391","89","20","1","24","53","76","27","153","6","0","1",".228",".284",".468",".752",".310","-4.0","-0.6","0.7","335.2","18316"
"Jesus Aguilar","Marlins","144","482","420","105","18","0","18","58","75","50","112","4","0","1",".250",".330",".421",".751",".319","1.0","-0.7","0.6","318.3","11342"
"Tyler White","Blue Jays","118","454","403","101","22","1","15","51","63","43","101","4","1","1",".251",".326",".422",".748",".319","0.0","-0.5","0.6","999.0","15564"
"Patrick Wisdom","Cubs","115","436","394","88","18","1","18","53","59","35","139","4","7","2",".223",".292",".411",".703",".297","0.0","0.3","0.5","999.0","13602"
"Michael Chavis","Red Sox","117","465","427","100","21","3","20","54","64","30","145","6","5","0",".234",".292",".438",".730",".306","-5.0","0.8","0.5","413.5","17321"
"Logan Morrison","","94","335","298","68","15","1","18","41","48","32","84","4","1","1",".228",".310",".466",".777",".325","1.0","-0.4","0.4","999.0","9205"
"Kennys Vargas","","127","497","446","106","19","1","22","57","64","44","128","3","0","0",".238",".308",".433",".741",".311","1.0","-0.2","0.4","999.0","12101"
"Ryder Jones","","120","469","430","101","24","3","13","50","56","30","123","6","3","1",".235",".292",".395",".687",".291","1.0","0.0","0.4","999.0","15982"
"Yuli Gurriel","Astros","127","528","487","126","28","2","16","62","65","28","56","6","2","2",".259",".303",".423",".726",".305","1.0","-0.7","0.3","299.6","19198"
"Mitch Moreland","","103","377","335","77","16","1","17","48","61","37","89","2","0","0",".230",".308",".436",".744",".311","2.0","-0.2","0.3","565.7","3086"
"Bobby Bradley","Indians","130","535","485","108","24","2","26","62","72","44","182","3","1","1",".223",".290",".441",".731",".305","5.0","-0.5","0.3","600.8","17278"
"Eric Hosmer","Padres","139","581","533","139","24","1","20","67","98","43","127","2","6","2",".261",".317",".422",".739",".312","0.0","0.0","0.3","135.8","3516"
