"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Michael Stefanic","Angels","115","468","433","95","14","0","4","43","29","22","68","11","6","6",".219",".274",".279",".554",".245","2.0","-1.6","-0.8","999.0","sa3008479"
"Rayder Ascanio","","99","381","349","70","14","0","6","34","27","24","89","3","4","5",".201",".257",".292",".549",".240","4.0","-1.5","-0.8","999.0","sa735861"
"Ryan Dorow","","125","499","448","91","16","2","10","49","40","39","164","8","7","3",".203",".277",".315",".592",".258","6.0","-0.1","-0.8","999.0","sa3004295"
"Cadyn Grenier","Orioles","87","374","337","59","15","3","7","35","30","30","141","5","4","3",".175",".251",".300",".551",".241","2.0","-0.7","-0.8","999.0","sa3008140"
"Omar Estevez","","120","495","457","101","28","1","11","48","53","30","135","1","1","2",".221",".267",".359",".626",".266","-2.0","-0.9","-0.8","999.0","sa914242"
"Michael De Leon","","139","560","529","126","21","0","5","50","33","22","84","4","2","3",".238",".272",".306",".579",".251","7.0","-1.2","-0.8","999.0","sa823925"
"Jack Lopez","","109","428","403","91","13","1","10","43","43","15","117","4","10","4",".226",".259",".337",".597",".255","3.0","0.1","-0.8","999.0","sa598270"
"Cole Peterson","","123","478","449","102","14","3","1","40","27","19","75","2","17","9",".227",".259",".278",".538",".235","6.0","-0.7","-0.9","999.0","sa3003965"
"Arquimedes Gamboa","","129","498","440","81","11","7","5","43","32","51","159","2","17","8",".184",".271",".275",".546",".244","5.0","-0.3","-0.9","999.0","sa877497"
"Aramis Ademan","Cubs","131","500","447","91","13","9","9","48","45","41","127","5","12","11",".204",".277",".333",".611",".265","-2.0","-2.6","-0.9","999.0","sa917352"
"Bryson Brigman","","125","513","468","100","15","2","3","44","29","35","100","5","8","5",".214",".275",".274",".548",".243","3.0","-0.8","-0.9","999.0","sa829857"
"Errol Robinson","Reds","112","446","407","88","14","2","8","45","32","35","128","2","12","7",".216",".280",".319",".600",".261","-2.0","-0.9","-1.0","999.0","sa857819"
"Jose  Garcia","Reds","120","459","431","95","19","2","6","42","35","16","118","10","11","5",".220",".264",".316",".579",".251","1.0","-0.2","-1.0","999.0","23378"
"Leonardo Rivas","","109","498","451","85","15","4","11","48","34","43","157","2","7","4",".188",".262",".313",".575",".250","2.0","-0.6","-1.1","999.0","sa872542"
"Rodolfo Castro","Pirates","110","430","398","86","20","3","9","42","40","23","131","3","5","5",".216",".262",".349",".611",".258","-1.0","-1.3","-1.1","999.0","sa917362"
"Ryan Howard","Giants","134","540","505","118","21","2","6","47","45","25","95","3","7","3",".234",".272",".319",".591",".254","-4.0","-0.2","-1.1","999.0","sa857225"
"Johan Cruz","White Sox","88","336","312","58","10","1","5","28","26","18","108","1","3","2",".186",".231",".272",".504",".219","2.0","-0.4","-1.1","999.0","sa736621"
"Jose Devers","Marlins","100","418","387","87","12","5","0","36","21","22","77","7","12","6",".225",".278",".282",".560",".247","-3.0","-0.4","-1.1","999.0","sa3003295"
"Christopher Morel","Cubs","82","316","298","62","11","4","7","30","30","11","85","3","5","8",".208",".242",".342",".584",".247","1.0","-2.6","-1.2","999.0","sa3003171"
"Demetrius Sims","","103","399","353","63","12","2","6","36","27","31","142","10","8","9",".178",".263",".275",".537",".239","1.0","-2.5","-1.2","999.0","sa3004390"
"Trace Loehr","","115","465","437","95","17","3","4","40","31","22","108","1","8","7",".217",".255",".297",".553",".239","3.0","-1.6","-1.2","999.0","sa829044"
"Alberti Chavez","","59","174","159","28","3","1","1","13","8","10","57","2","0","2",".176",".231",".226",".458",".205","0.0","-0.9","-1.2","999.0","sa657456"
"Alfredo Rodriguez","","122","504","475","108","16","2","2","44","26","22","100","4","10","6",".227",".266",".282",".549",".240","6.0","-0.9","-1.2","999.0","sa922180"
"Manuel Geraldo","","129","540","511","114","17","6","9","51","51","24","161","1","13","5",".223",".259",".333",".592",".252","0.0","0.2","-1.2","999.0","sa827970"
"Camden Duzenack","Diamondbacks","109","453","413","79","15","3","13","46","43","27","128","9","8","5",".191",".254",".337",".590",".253","1.0","-0.8","-1.2","999.0","sa873988"
"Ray-Patrick Didder","","119","450","393","69","10","3","6","41","27","40","154","13","19","8",".176",".272",".262",".534",".242","-4.0","0.1","-1.3","999.0","sa736824"
"Michael Davis","","80","287","266","42","9","1","7","24","23","19","138","1","3","1",".158",".216",".278",".494",".213","1.0","0.1","-1.3","999.0","sa3008248"
"Ryan Fitzgerald","Red Sox","117","492","452","98","17","4","5","45","37","33","141","3","6","7",".217",".272",".305",".578",".251","-1.0","-2.1","-1.3","999.0","sa3006218"
"Freudis Nova","Astros","108","422","405","89","17","0","12","42","42","15","114","1","15","13",".220",".249",".351",".599",".254","-7.0","-2.8","-1.3","999.0","sa3003195"
"Erick Salcedo","","118","431","406","85","15","2","3","34","29","18","71","1","3","3",".209",".243",".278",".521",".226","2.0","-0.9","-1.3","999.0","sa548029"
"Andruw Monasterio","","104","413","371","75","10","2","3","36","21","33","88","3","7","6",".202",".271",".264",".535",".239","3.0","-1.4","-1.4","999.0","sa830359"
"Oswaldo Cabrera","Yankees","133","544","511","110","24","1","11","50","51","26","143","1","8","12",".215",".253",".331",".583",".248","3.0","-3.8","-1.4","999.0","sa916954"
"Joe Dunand","","134","538","487","98","19","1","8","48","44","33","152","10","1","1",".201",".262",".294",".556",".243","-1.0","-0.5","-1.4","999.0","sa3005360"
"Logan Warmoth","","101","418","380","70","14","3","3","34","24","27","142","6","10","2",".184",".248",".261",".508",".226","3.0","0.9","-1.4","999.0","sa3004813"
"Diosbel Arias","","127","525","479","111","21","3","5","50","37","38","131","4","4","5",".232",".291",".319",".611",".266","-2.0","-1.6","-1.4","999.0","sa3005308"
"Luis Aviles Jr.","","116","453","419","80","14","1","5","39","29","27","162","2","22","7",".191",".242",".265",".507",".222","1.0","1.2","-1.4","999.0","sa738445"
"Riley Delgado","","128","541","508","119","17","2","1","44","29","23","60","6","1","1",".234",".275",".281",".556",".245","1.0","-0.5","-1.5","999.0","sa3004934"
"Ryne Ogren","Orioles","94","365","334","64","11","1","4","31","22","23","95","6","4","1",".192",".255",".266",".522",".232","-1.0","0.2","-1.5","999.0","sa3006726"
"Connor Kopach","Mariners","110","464","421","74","15","3","9","42","36","32","178","5","15","5",".176",".241",".290",".531",".232","-1.0","0.6","-1.6","999.0","sa3006791"
"Mikey White","Athletics","104","447","410","80","19","1","10","42","44","30","151","5","1","1",".195",".258",".320",".577",".251","2.0","-0.4","-1.6","999.0","sa658966"
"Kevin Merrell","Royals","112","467","439","96","15","5","2","40","27","20","117","2","14","6",".219",".254",".289",".544",".235","-3.0","0.0","-1.7","999.0","sa915707"
"Ronny Mauricio","","107","460","436","91","16","4","5","40","30","17","118","3","4","10",".209",".242",".298",".540",".231","0.0","-3.7","-1.8","999.0","sa3006887"
"Taylor Snyder","","96","379","351","71","14","2","9","35","33","19","142","4","10","7",".202",".249",".330",".579",".246","-1.0","-1.2","-1.9","999.0","sa738930"
"Osvaldo Duarte","Nationals","126","504","471","92","14","5","10","46","39","28","173","3","14","12",".195",".245",".310",".555",".239","-6.0","-2.6","-1.9","999.0","sa828299"
"Angel Aguilar","","102","392","369","71","14","3","8","32","35","14","128","3","7","5",".192",".226",".312",".537",".228","-2.0","-0.9","-1.9","999.0","sa657323"
"Brendon Davis","Angels","125","466","424","82","16","2","7","41","35","33","134","5","1","3",".193",".258",".290",".548",".240","2.0","-1.3","-1.9","999.0","sa875089"
"Jake Gatewood","","113","466","430","79","17","2","15","46","48","31","197","2","4","1",".184",".240",".337",".578",".245","-4.0","0.2","-2.0","999.0","sa828685"
"Delvin Perez","","100","424","394","77","10","3","1","35","19","20","109","7","12","9",".195",".247",".244",".491",".219","0.0","-1.7","-2.0","999.0","sa917935"
"Jeison Guzman","","110","445","416","89","16","4","4","37","30","19","112","2","13","12",".214",".251",".300",".552",".238","-6.0","-2.8","-2.1","999.0","sa914314"
"Alejandro Salazar","","121","446","425","88","14","3","2","32","25","12","125","2","7","7",".207",".231",".268",".500",".215","4.0","-1.8","-2.5","999.0","sa827937"
