"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Alex Bregman","Astros","150","649","546","153","38","3","29","97","95","89","86","9","8","2",".280",".387",".520",".907",".380","0.0","0.3","5.9","40.3","17678"
"Jose Ramirez","Indians","144","619","537","154","42","4","32","98","103","72","91","5","26","7",".287",".373",".559",".932",".384","2.0","1.8","5.6","11.1","13510"
"Anthony Rendon","Angels","137","598","508","143","33","2","26","81","94","74","89","10","3","1",".281",".380",".508",".887",".370","3.0","-0.2","5.1","41.0","12861"
"Matt Chapman","Athletics","141","592","528","130","33","5","34","88","91","54","167","7","2","2",".246",".323",".521",".843",".349","13.0","-0.7","5.0","108.8","16505"
"Manny Machado","Padres","151","650","582","158","29","2","33","84","116","60","110","2","11","5",".271",".338",".498",".837",".345","3.0","-0.3","3.8","19.6","11493"
"Nolan Arenado","Cardinals","144","613","547","158","32","3","32","86","99","56","89","3","2","2",".289",".354",".534",".888",".363","10.0","-0.8","3.8","30.2","9777"
"Rafael Devers","Red Sox","156","675","624","179","44","3","32","102","112","45","146","4","5","4",".287",".338",".521",".859",".355","-7.0","-1.1","3.2","41.1","17350"
"Yoan Moncada","White Sox","141","609","545","142","26","5","24","81","81","57","183","4","9","4",".261",".333",".459",".792",".333","2.0","-0.3","3.2","86.4","17232"
"Josh Donaldson","Twins","110","458","381","93","18","0","22","59","61","70","107","5","2","1",".244",".367",".465",".831",".353","2.0","-0.3","3.1","191.4","5038"
"Jeimer Candelario","Tigers","140","580","516","130","30","4","20","72","72","56","143","6","3","1",".252",".331",".442",".773",".328","6.0","-0.1","3.0","254.3","13621"
"Eugenio Suarez","Reds","147","606","523","129","23","2","34","76","107","70","165","8","4","2",".247",".342",".493",".835",".347","0.0","-0.4","3.0","80.7","12552"
"Vladimir Guerrero Jr.","Blue Jays","146","601","544","150","33","5","26","77","98","50","95","5","2","1",".276",".341",".498",".839",".351","2.0","-0.3","2.6","56.8","19611"
"Brian Anderson","Marlins","145","593","523","133","28","3","22","69","80","52","148","15","3","2",".254",".337",".446",".783",".332","0.0","-0.6","2.6","230.8","18289"
"Kris Bryant","Cubs","133","596","515","130","29","3","24","86","67","62","137","15","3","2",".252",".347",".460",".808",".342","-2.0","-0.6","2.6","130.8","15429"
"Giovanny Urshela","Yankees","138","508","466","132","28","0","18","68","79","32","87","4","2","0",".283",".331",".459",".790",".331","2.0","0.1","2.5","158.8","10681"
"Ty France","Mariners","143","565","508","136","26","3","18","69","74","34","119","19","1","2",".268",".335",".437",".772",".328","-1.0","-1.0","2.5","333.2","17982"
"Ke'Bryan Hayes","Pirates","121","513","456","119","30","6","12","64","50","48","105","4","8","2",".261",".334",".432",".766",".323","7.0","0.5","2.5","144.9","18577"
"Justin Turner","","110","454","395","110","23","1","15","61","59","42","72","13","2","0",".278",".363",".456",".819",".348","-2.0","0.1","2.5","225.8","5235"
"Alec Bohm","Phillies","135","572","514","144","27","3","18","72","78","50","110","3","5","3",".280",".344",".449",".794",".336","0.0","-0.6","2.4","999.0","21618"
"David Fletcher","Angels","152","665","612","171","33","4","8","79","52","44","73","3","9","4",".279",".329",".386",".715",".307","5.0","-0.3","2.3","226.5","17992"
