"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Carter Kieboom","Nationals","120","477","414","101","19","1","13","52","51","51","115","7","4","2","",".245",".334",".389",".723",".313","","89","0.0","1.1","","-7.1","3.1","1.1","","999.0","19958"
"Maikel Franco","","125","504","454","116","23","1","22","61","69","40","77","3","2","1","",".255",".317",".455",".772",".318","","96","-1.3","-2.6","","-4.0","-2.1","1.1","","999.0","12179"
"Wilmer Flores","Giants","76","321","293","82","17","1","13","40","43","20","43","4","1","1","",".279",".330",".471",".801",".336","","110","-1.1","-2.9","","3.1","-3.9","0.9","","999.0","5827"
"Yoshitomo Tsutsugo","Rays","65","272","230","55","10","1","13","35","36","36","74","2","1","0","",".239",".345",".454",".799",".337","","114","0.0","0.0","","4.7","-6.4","0.8","","999.0","27459"
"Travis Shaw","","78","319","274","62","13","0","13","38","40","39","84","3","2","1","",".228",".327",".422",".749",".319","","96","-0.6","0.0","","-2.2","-1.2","0.7","","999.0","11982"
"Jake Lamb","","92","373","319","71","15","1","15","45","45","44","99","5","3","1","",".224",".326",".420",".746",".319","","96","0.6","-3.8","","-1.2","-4.2","0.7","","999.0","13329"
"David Bote","Cubs","109","435","379","90","17","2","15","51","50","44","118","6","5","2","",".238",".325",".408",".733",".313","","91","0.5","-2.9","","-4.5","-2.4","0.7","","999.0","14593"
"Hanser Alberto","","97","419","394","111","21","1","8","46","42","14","48","4","4","2","",".281",".311",".400",".711",".302","","85","0.3","-1.0","","-7.9","0.8","0.7","","999.0","11902"
"Nicholas Castellanos","Reds","146","651","586","153","39","3","28","87","88","50","162","7","3","2","",".260",".323",".478",".801",".334","","102","0.2","-9.2","","2.3","-16.5","0.7","","999.0","11737"
"Asdrubal Cabrera","","84","350","312","78","16","2","12","40","43","32","74","2","1","1","",".250",".321",".426",".747",".317","","95","-1.9","-0.5","","-4.3","-1.1","0.6","","999.0","4962"
"Colin Moran","Pirates","117","492","443","118","23","1","17","56","61","40","110","4","1","1","",".266",".330",".436",".765",".324","","100","-1.6","-3.3","","-2.0","-7.7","0.6","","999.0","16909"
"Ty France","Mariners","102","422","379","96","19","1","14","47","50","27","89","11","2","1","",".254",".318",".425",".743",".316","","99","-0.6","0.1","","-0.9","-7.8","0.6","","999.0","17982"
"Todd Frazier","","96","396","347","79","15","1","16","46","50","37","94","7","3","1","",".228",".312",".416",".728",".310","","90","-0.7","-0.8","","-5.6","-1.9","0.6","","999.0","785"
"Vimael Machin","Athletics","52","208","184","47","9","1","3","23","20","20","34","2","2","1","",".255",".331",".368",".699",".302","","90","0.1","-1.7","","-2.7","0.3","0.5","","999.0","17684"
"Jedd Gyorko","","57","234","204","50","8","1","11","30","31","25","56","2","2","1","",".245",".330",".451",".781",".330","","103","-0.6","1.3","","0.4","-3.7","0.5","","999.0","10816"
"Yolmer Sanchez","Orioles","113","447","398","97","20","2","7","45","42","37","95","5","6","3","",".243",".312",".361",".673",".292","","78","0.4","-1.3","","-12.4","1.0","0.4","","999.0","11602"
