"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Amed Rosario","Mets","80","330","305","82","15","2","8","37","37","17","63","2","9","4","",".270",".312",".416",".728",".307","","92","0.8","1.1","","-2.5","3.2","1.1","","999.0","15518"
"Myles Straw","Astros","120","490","432","110","18","3","4","55","42","48","104","3","26","8","",".254",".331",".339",".670",".295","","85","2.1","-2.3","","-7.3","-0.3","1.0","","999.0","17620"
"Jon Berti","Marlins","105","452","394","95","18","2","8","50","38","44","106","7","18","6","",".241",".326",".360",".686",".300","","87","2.1","-1.0","","-5.7","0.8","0.9","","999.0","12037"
"Niko Goodrum","Tigers","143","619","551","126","28","3","17","69","64","56","188","4","15","6","",".228",".302",".385",".687",".294","","80","1.9","-5.3","","-14.0","0.8","0.8","","999.0","12092"
"Asdrubal Cabrera","","84","350","312","78","16","2","12","40","43","32","74","2","1","1","",".250",".321",".426",".747",".317","","95","-1.9","-0.5","","-4.3","-1.1","0.6","","999.0","4962"
"Jonathan Villar","","73","324","289","73","13","1","8","40","32","28","85","3","17","5","",".253",".322",".395",".716",".307","","89","1.5","-3.3","","-3.3","-1.8","0.6","","999.0","10071"
"Elvis Andrus","Rangers","102","446","410","105","21","2","10","48","47","27","73","4","13","5","",".256",".306",".389",".694",".296","","73","0.8","2.0","","-14.3","4.2","0.5","","999.0","8709"
"Santiago Espinal","Blue Jays","47","185","169","44","8","1","3","20","18","12","33","1","3","2","",".260",".311",".369",".680",".292","","80","0.2","1.9","","-4.5","2.9","0.5","","999.0","19997"
"Brad Miller","","94","385","332","76","16","2","15","47","48","45","108","3","3","1","",".230",".326",".427",".753",".320","","97","0.0","-5.3","","-1.6","-6.8","0.5","","999.0","12775"
"Kevin Newman","Pirates","80","348","318","87","16","2","5","38","32","21","47","3","9","4","",".275",".325",".386",".711",".305","","87","0.2","-2.3","","-5.7","-1.0","0.4","","999.0","17696"
"Wander Franco","Rays","97","394","358","86","13","2","7","40","38","27","52","4","8","4","",".241",".299",".353",".652",".281","","75","0.2","0.0","","-12.2","2.5","0.4","","999.0","sa3007033"
"Ramon Urias","Orioles","36","144","129","33","7","0","4","16","16","11","33","2","1","1","",".253",".318",".407",".724",".309","","89","0.0","0.0","","-2.0","0.8","0.4","","999.0","18795"
"Aledmys Diaz","Astros","49","197","179","45","10","1","7","23","25","13","31","2","1","1","",".253",".308",".431",".739",".311","","96","-0.3","-0.6","","-1.4","-1.9","0.4","","999.0","15937"
"Freddy Galvis","","83","341","310","73","15","1","9","36","36","23","79","3","3","1","",".236",".292",".380",".671",".286","","75","-0.1","-0.3","","-11.3","3.0","0.3","","999.0","6609"
"Royce Lewis","","39","158","145","36","7","1","4","17","17","9","33","1","4","2","",".246",".296",".381",".677",".289","","76","0.2","0.0","","-4.6","1.9","0.3","","999.0","sa3004259"
"Owen Miller","","47","190","174","45","10","1","3","21","20","12","30","2","2","1","",".261",".313",".382",".695",".298","","79","0.1","0.0","","-4.9","0.8","0.3","","999.0","sa3006673"
"Erik Gonzalez","Pirates","123","512","475","121","26","2","10","52","50","25","133","5","9","4","",".254",".295",".383",".678",".288","","76","0.4","-4.8","","-15.9","1.3","0.2","","999.0","13369"
"Yu-Cheng Chang","Indians","104","417","371","85","19","2","12","46","45","36","106","4","4","2","",".228",".300",".381",".681",".292","","76","-0.2","-1.5","","-13.2","0.4","0.2","","999.0","14773"
"Jeter Downs","","26","105","95","23","5","0","3","12","12","8","22","1","3","1","",".246",".309",".394",".703",".301","","81","0.1","0.0","","-2.5","0.4","0.2","","999.0","sa3004615"
"Jose  Garcia","Reds","113","449","415","102","23","1","9","45","46","21","106","6","8","3","",".245",".290",".371",".660",".282","","68","0.4","-0.3","","-18.5","5.4","0.1","","999.0","23378"
"Franklin Barreto","Angels","26","105","96","21","4","0","4","12","12","7","35","1","2","1","",".223",".282",".389",".671",".285","","77","0.2","-0.2","","-2.9","0.6","0.1","","999.0","15519"
"Nate Orf","Athletics","29","118","103","24","5","0","2","12","10","10","24","3","2","1","",".232",".317",".333",".650",".286","","79","0.0","-0.6","","-3.2","0.3","0.1","","999.0","15407"
"Pat Valaika","Orioles","65","259","239","55","11","1","10","28","31","15","68","1","2","1","",".232",".279",".406",".686",".289","","76","-0.1","-1.4","","-8.1","0.1","0.1","","999.0","14885"
"Brendan Rodgers","Rockies","35","142","131","35","7","1","5","16","18","8","30","2","2","1","",".270",".319",".441",".761",".320","","81","0.1","-0.1","","-3.4","-0.2","0.1","","999.0","17907"
"Max Moroff","Cardinals","21","86","74","16","3","0","2","9","8","10","24","1","1","1","",".213",".313",".359",".671",".293","","81","0.1","0.0","","-2.1","0.1","0.1","","999.0","14556"
"Nick Gordon","Twins","18","72","66","17","4","0","1","8","7","4","15","1","2","1","",".252",".301",".367",".669",".287","","75","0.1","0.0","","-2.2","0.4","0.1","","999.0","sa828662"
"Adeiny Hechavarria","","32","130","119","29","6","0","3","13","13","7","26","1","1","0","",".244",".292",".364",".655",".280","","71","0.1","0.0","","-4.9","1.1","0.1","","999.0","10459"
"Scott Kingery","Phillies","139","571","519","118","26","2","17","60","61","39","157","6","11","4","",".227",".286",".381",".667",".284","","72","1.9","-0.8","","-19.5","1.6","0.1","","999.0","17975"
"Zack Short","Tigers","11","46","40","9","2","0","1","5","4","5","13","1","1","0","",".216",".306",".352",".658",".287","","75","0.0","0.0","","-1.4","0.4","0.1","","999.0","sa873287"
"Anderson Tejeda","Rangers","16","64","59","14","3","0","2","7","7","4","20","1","2","1","",".237",".288",".399",".688",".291","","70","0.1","0.2","","-2.4","0.7","0.0","","999.0","19909"
"Donnie Walton","Mariners","8","32","29","7","1","0","0","3","3","3","6","0","1","0","",".238",".309",".340",".650",".284","","78","0.0","0.0","","-0.9","0.2","0.0","","999.0","19314"
"Ehire Adrianza","","44","176","157","37","8","1","3","18","17","15","39","2","2","1","",".236",".307",".355",".662",".287","","75","0.1","-1.1","","-5.6","0.0","0.0","","999.0","8418"
"Jasrado Chisholm","Marlins","30","120","108","23","4","1","4","12","13","9","36","1","3","1","",".212",".280",".372",".652",".279","","73","0.2","0.1","","-4.1","0.5","0.0","","999.0","20454"
"Tim Beckham","","3","13","12","3","1","0","0","1","2","1","4","0","0","0","",".234",".297",".407",".704",".299","","86","0.0","0.0","","-0.2","0.1","0.0","","999.0","7949"
"Kevin Smith","","18","72","67","15","3","0","2","8","8","4","20","1","2","1","",".224",".273",".386",".659",".279","","71","0.1","0.0","","-2.6","0.4","0.0","","999.0","sa915864"
"Jose Peraza","","21","83","77","20","4","0","2","9","8","4","12","1","2","1","",".260",".305",".376",".681",".292","","82","0.1","-0.2","","-1.8","-0.6","0.0","","999.0","13593"
"C.J. Chatham","Red Sox","24","99","92","24","5","0","1","10","10","4","21","1","1","0","",".260",".298",".359",".658",".282","","68","0.1","0.0","","-4.0","0.7","0.0","","999.0","sa873984"
"Lucius Fox","Royals","21","85","76","18","3","1","1","9","7","7","18","1","3","1","",".232",".304",".328",".632",".277","","68","0.1","0.0","","-3.4","0.5","0.0","","999.0","sa914200"
"Alex De Goti","","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".233",".292",".357",".649",".280","","75","0.0","0.0","","-0.4","0.1","0.0","","999.0","sa919320"
"Kramer Robertson","","5","20","17","4","1","0","0","2","2","2","4","0","0","0","",".226",".304",".329",".633",".278","","72","0.0","0.0","","-0.7","0.1","0.0","","999.0","sa857820"
"Addison Russell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".312",".402",".715",".304","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","14106"
"Taylor Walls","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".302",".358",".661",".285","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915802"
"Daniel Robertson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".338",".365",".703",".309","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","14145"
"Zack Cozart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".305",".370",".676",".292","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","2616"
"Oneil Cruz","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".298",".377",".676",".288","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917318"
"Esteban Quiroz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".311",".374",".685",".296","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa596560"
"Matt Reynolds","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".312",".352",".665",".290","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","13788"
"Robbie Glendinning","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".301",".365",".665",".286","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004978"
"Braden Shewmake","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".303",".366",".669",".288","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010332"
"Chad De La Guerra","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".293",".370",".662",".284","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875729"
"Jecksson Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".295",".340",".635",".275","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597007"
"Hoy Jun Park","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".309",".326",".635",".280","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877610"
"Mason McCoy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".297",".333",".630",".274","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002758"
"Josh Morgan","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".275",".307",".582",".254","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828797"
"Stephen Alemais","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".300",".330",".630",".274","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874070"
"J.T. Riddle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".279",".373",".652",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","17642"
"Laz Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".277",".340",".617",".265","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004128"
"Ronny Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".277",".396",".673",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","11875"
"Alan Trejo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".300",".396",".696",".296","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002726"
"Clayton Daniel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".301",".349",".650",".281","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007646"
"Tyler Friis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".302",".341",".643",".280","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915593"
"Yonny Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".324",".320",".644",".286","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872473"
"Drew Maggi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".305",".328",".633",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549144"
