"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"DJ LeMahieu","Yankees","150","683","615","180","30","3","21","97","76","53","94","5","7","3","",".292",".350",".452",".803",".341","","113","0.2","1.3","","11.2","3.4","3.8","","28.4","9874"
"Gleyber Torres","Yankees","149","625","548","149","27","1","32","87","96","64","120","6","6","3","",".271",".351",".497",".848",".355","","122","-0.7","-8.0","","16.9","-0.5","3.7","","71.9","16997"
"Ozzie Albies","Braves","150","641","578","162","35","4","25","90","86","48","104","6","14","5","",".280",".340",".483",".822",".344","","110","1.5","4.1","","9.6","6.6","3.6","","31.3","16556"
"Ketel Marte","Diamondbacks","149","666","593","170","35","6","21","92","80","57","89","7","7","3","",".287",".354",".472",".826",".348","","113","0.3","-1.8","","11.5","1.0","3.3","","81.4","13613"
"Jose Altuve","Astros","150","673","599","166","31","2","23","94","82","58","110","6","11","4","",".277",".345",".450",".795",".337","","114","0.6","-4.9","","12.7","-2.9","3.3","","100.3","5417"
"Jeff McNeil","Mets","150","665","592","168","36","2","19","89","75","49","89","15","8","3","",".284",".351",".448",".799",".339","","113","-0.7","-2.0","","10.5","-1.5","3.0","","86.0","15362"
"Yoan Moncada","White Sox","147","650","570","143","27","4","24","85","78","68","189","5","7","3","",".250",".332",".438",".770",".327","","104","0.4","0.5","","4.0","2.9","2.9","","86.4","17232"
"Brandon Lowe","Rays","133","579","508","126","25","3","25","75","75","56","159","8","6","3","",".247",".328",".458",".786",".332","","110","1.0","0.1","","8.6","-1.2","2.7","","72.5","18882"
"Cavan Biggio","Blue Jays","143","634","527","124","26","2","20","88","67","93","159","6","13","5","",".235",".353",".405",".758",".329","","105","0.1","-0.9","","4.0","1.0","2.7","","62.0","19252"
"Nick Madrigal","White Sox","143","553","504","153","28","2","7","66","57","34","37","7","20","8","",".304",".353",".411",".764",".328","","105","-0.9","-0.4","","2.7","1.9","2.4","","194.7","20521"
"Luis Arraez","Twins","122","504","453","141","28","2","6","60","52","42","46","3","5","2","",".311",".371",".416",".787",".339","","111","-0.1","-1.1","","6.7","-0.7","2.3","","365.3","18568"
"Max Muncy","Dodgers","143","615","508","118","20","1","30","86","82","92","160","8","3","1","",".232",".356",".450",".806",".343","","115","-0.1","1.6","","11.7","-8.8","2.2","","93.7","13301"
"Javier Baez","Cubs","150","646","601","154","32","4","30","82","97","33","180","6","12","5","",".256",".298",".470",".769",".318","","95","1.2","-2.6","","-3.0","4.9","2.2","","74.1","12979"
"Jean Segura","Phillies","144","624","569","160","29","4","16","77","74","41","91","6","10","4","",".281",".334",".430",".764",".324","","98","1.2","-0.3","","-0.4","2.6","2.2","","189.0","5933"
"David Fletcher","Angels","150","666","601","167","34","2","9","81","59","51","73","4","8","3","",".278",".336",".385",".721",".311","","93","0.0","1.2","","-5.9","3.9","2.1","","226.5","17992"
"Kolten Wong","","126","537","468","122","23","4","10","65","52","49","87","11","14","5","",".260",".343",".390",".732",".316","","94","1.0","1.3","","-2.9","3.5","1.8","","413.6","12532"
"Whit Merrifield","Royals","150","691","627","176","37","4","16","93","67","46","113","7","24","7","",".281",".335",".427",".762",".323","","99","1.9","-1.7","","0.8","-7.3","1.7","","41.0","11281"
"Cesar Hernandez","Indians","131","567","496","134","26","1","10","67","53","58","108","5","6","2","",".270",".350",".388",".738",".320","","96","0.2","-1.3","","-3.1","0.9","1.7","","370.2","10556"
"Tommy La Stella","","98","429","380","108","21","2","10","55","47","38","42","5","2","1","",".284",".355",".434",".789",".337","","110","-0.5","-2.0","","5.1","-1.5","1.7","","317.8","12371"
"Keston Hiura","Brewers","144","618","554","139","27","2","30","80","87","45","174","12","11","5","",".252",".319",".468",".787",".328","","101","-0.4","-4.1","","0.0","-4.5","1.5","","66.9","20003"
"Enrique Hernandez","Red Sox","104","425","374","95","21","2","16","56","55","41","85","4","3","1","",".253",".332",".453",".784",".330","","101","0.3","-1.3","","0.8","-0.9","1.4","","442.6","10472"
"Nico Hoerner","Cubs","118","459","414","113","22","3","9","54","51","33","67","6","10","4","",".274",".333",".408",".741",".317","","94","0.3","1.2","","-3.0","3.0","1.4","","457.2","21479"
"Luis Urias","Brewers","136","546","476","117","23","3","13","60","57","54","118","9","6","3","",".246",".331",".386",".716",".310","","89","-0.4","2.8","","-8.7","5.7","1.4","","408.9","16622"
"Jake Cronenworth","Padres","103","422","375","102","22","3","8","49","46","38","72","5","8","3","",".272",".344",".407",".750",".323","","100","-0.3","0.1","","-0.1","0.1","1.3","","177.1","18036"
"Andres Gimenez","Indians","107","429","390","102","20","3","10","49","48","24","88","8","18","8","",".260",".314",".405",".719",".307","","87","0.2","-0.2","","-7.2","4.4","1.2","","179.2","19950"
"Adam Frazier","Pirates","110","480","430","114","25","3","10","56","47","37","70","6","6","3","",".266",".331",".403",".734",".314","","93","0.3","-1.1","","-4.2","0.8","1.2","","485.5","15223"
"Gavin Lux","Dodgers","104","419","375","96","18","2","14","52","52","36","88","3","7","3","",".257",".323",".426",".750",".318","","99","0.0","-2.0","","-0.8","-1.0","1.1","","247.7","19955"
"Nicky Lopez","Royals","133","535","481","128","24","2","6","57","49","42","76","4","9","4","",".266",".328",".365",".693",".301","","84","-0.6","0.6","","-11.8","3.1","1.0","","599.0","19339"
"Joey Wendle","Rays","96","397","360","92","19","3","7","42","39","24","77","8","10","4","",".256",".314",".380",".694",".297","","87","0.3","0.4","","-6.3","2.1","0.9","","306.0","13853"
"Jonathan Schoop","","113","471","433","108","20","2","20","57","63","24","115","7","2","1","",".250",".299",".448",".747",".312","","92","0.0","-3.0","","-5.1","-1.1","0.9","","420.4","11265"
"Donovan Solano","Giants","126","537","497","141","29","2","8","58","55","28","100","5","2","1","",".284",".326",".396",".722",".309","","92","-0.9","-4.2","","-6.9","-1.0","0.9","","484.2","8623"
"Brendan Rodgers","Rockies","127","512","468","128","27","2","17","61","65","31","107","7","5","2","",".273",".324",".451",".774",".326","","86","-0.1","0.4","","-9.8","2.4","0.9","","497.8","17907"
"Jurickson Profar","Padres","94","374","327","80","17","1","13","46","46","36","57","6","7","2","",".246",".330",".419",".749",".320","","98","0.3","0.4","","-0.5","-2.8","0.9","","233.9","10815"
"Mauricio Dubon","Giants","113","447","411","111","20","2","11","50","51","26","79","4","9","4","",".269",".316",".408",".724",".308","","90","-0.1","-2.1","","-5.7","-0.2","0.8","","275.1","16530"
"Tony Kemp","Athletics","94","379","334","83","16","2","6","41","35","34","60","5","9","4","",".248",".324",".360",".684",".298","","87","-0.2","-0.8","","-6.3","0.7","0.8","","599.6","14894"
"Jonathan Villar","","96","424","378","96","17","2","11","54","43","37","111","3","22","7","",".253",".323",".396",".719",".309","","89","1.7","-5.4","","-4.1","-2.6","0.7","","143.6","10071"
"Wilmer Flores","Giants","60","253","231","65","13","1","10","32","35","16","34","3","1","0","",".283",".334",".472",".805",".338","","110","-0.8","-1.7","","2.6","-3.4","0.7","","313.7","5827"
"Ty France","Mariners","107","442","397","101","20","1","15","50","52","29","94","11","2","1","",".255",".321",".427",".747",".318","","100","-0.7","0.1","","-0.5","-8.4","0.7","","333.2","17982"
"Starlin Castro","Nationals","111","473","438","118","21","2","15","56","63","28","89","3","3","1","",".270",".316",".430",".746",".314","","90","-0.2","-3.5","","-6.3","-2.6","0.6","","333.6","4579"
"Asdrubal Cabrera","","84","350","312","78","16","2","12","40","43","32","74","2","1","1","",".249",".320",".422",".743",".315","","94","-1.7","-0.5","","-4.5","-1.1","0.6","","518.7","4962"
"David Bote","Cubs","93","371","323","77","15","2","12","44","43","38","101","5","5","2","",".238",".325",".406",".730",".312","","91","0.4","-2.2","","-3.9","-2.0","0.6","","502.8","14593"
"Niko Goodrum","Tigers","133","577","514","116","26","3","16","65","60","52","177","4","14","5","",".226",".300",".382",".682",".292","","78","1.3","-1.7","","-15.1","0.9","0.6","","412.0","12092"
"Christian Arroyo","Red Sox","65","257","233","61","13","1","8","31","31","17","56","3","3","1","",".260",".316",".424",".741",".314","","90","-0.1","-1.4","","-3.4","-0.1","0.5","","598.4","16434"
"Shed Long","Mariners","65","268","240","56","11","1","8","29","28","22","68","2","5","2","",".235",".304",".388",".692",".296","","86","0.3","-0.1","","-4.4","0.3","0.5","","589.3","16542"
"Hanser Alberto","","52","223","211","60","12","1","4","25","22","7","25","2","2","1","",".287",".316",".403",".719",".305","","86","0.0","-0.4","","-3.8","0.5","0.4","","529.7","11902"
"Ryan McMahon","Rockies","131","533","473","118","23","2","20","63","67","49","158","4","4","2","",".249",".323",".437",".760",".322","","83","0.1","-0.7","","-11.9","-1.4","0.4","","244.1","15112"
"Brian Dozier","","52","211","182","41","8","0","8","25","25","24","48","2","2","1","",".226",".319",".407",".726",".311","","91","0.0","-0.7","","-2.5","-0.9","0.4","","999.0","9810"
"Mike Brosseau","Rays","39","163","147","37","7","1","5","18","19","11","40","2","2","1","",".248",".309",".419",".728",".308","","95","-0.1","0.6","","-1.3","-0.8","0.4","","435.4","19683"
"Joe Panik","","49","201","177","45","9","1","4","22","20","18","25","2","2","1","",".254",".328",".374",".702",".303","","86","-0.2","-0.3","","-3.9","0.6","0.3","","599.4","11936"
"Brad Miller","","83","339","292","67","14","2","13","42","43","40","95","3","2","1","",".230",".326",".426",".752",".320","","97","-0.6","-3.8","","-2.0","-6.0","0.3","","593.5","12775"
"Yolmer Sanchez","Orioles","71","281","250","61","13","2","5","28","26","23","60","3","3","2","",".244",".314",".363",".677",".293","","80","-0.1","-0.6","","-7.1","0.7","0.3","","596.1","11602"
"Jason Kipnis","","65","266","236","54","12","1","8","30","30","24","58","3","3","1","",".231",".307",".389",".696",".298","","82","0.0","-0.7","","-6.1","0.4","0.3","","999.0","9776"
"Michael Chavis","Red Sox","81","327","295","71","13","2","14","39","43","24","95","4","3","1","",".240",".303",".433",".736",".309","","87","-0.5","-0.3","","-5.9","-2.5","0.3","","413.5","17321"
"Eric Sogard","","53","231","204","50","10","1","4","27","21","22","39","2","2","1","",".247",".324",".366",".690",".299","","83","-0.2","-0.7","","-5.3","0.2","0.3","","600.8","7927"
"Luis Guillorme","Mets","67","264","231","57","11","0","4","28","24","27","50","2","4","1","",".245",".328",".342",".670",".295","","84","-0.1","-0.6","","-5.5","-0.3","0.3","","600.7","16451"
"Daniel Robertson","Brewers","44","179","153","36","7","0","4","19","18","20","43","4","2","1","",".235",".335",".363",".698",".307","","86","-0.1","-0.3","","-3.3","0.1","0.2","","999.0","14145"
"Isan Diaz","Marlins","70","292","258","58","11","1","10","32","32","27","76","3","4","2","",".226",".305",".391",".696",".298","","86","-0.5","-2.2","","-5.9","-1.1","0.2","","598.2","17922"
"Luis Garcia","Nationals","76","305","286","79","15","1","5","33","34","13","54","2","5","2","",".277",".312",".396",".707",".301","","82","-0.2","-1.4","","-7.6","-0.2","0.2","","999.0","20391"
"Luis Rengifo","Angels","21","83","72","18","3","0","2","9","8","8","17","1","2","1","",".242",".322",".374",".697",".302","","87","0.0","0.0","","-1.4","0.5","0.2","","999.0","19858"
"Danny Mendick","White Sox","24","96","86","21","4","0","2","11","10","8","20","1","2","1","",".242",".310",".378",".687",".296","","84","-0.1","-0.2","","-2.1","0.4","0.2","","999.0","18889"
"Josh VanMeter","Diamondbacks","36","150","133","33","7","1","4","18","17","14","33","1","3","1","",".249",".323",".416",".739",".315","","91","-0.1","-0.7","","-1.9","-1.3","0.2","","600.3","15170"
"Sheldon Neuse","Athletics","42","168","153","36","7","1","4","17","17","11","50","1","1","1","",".238",".293",".365",".658",".282","","77","-0.1","-0.3","","-5.0","0.5","0.1","","999.0","19635"
"Franklin Barreto","Angels","32","131","119","27","5","0","5","15","15","9","43","2","2","1","",".222",".282",".392",".674",".286","","76","0.1","-0.1","","-3.9","0.7","0.1","","600.3","15519"
"Jahmai Jones","Orioles","66","270","243","57","11","1","5","27","25","21","54","2","5","2","",".236",".301",".351",".653",".283","","74","-0.2","0.0","","-9.3","1.1","0.1","","999.0","18872"
"Greg Garcia","","24","101","86","20","4","1","1","11","8","12","23","1","1","0","",".233",".334",".332",".665",".295","","81","0.0","-0.2","","-2.5","0.2","0.1","","999.0","10951"
"Ramon Urias","Orioles","10","39","35","9","2","0","1","4","4","3","9","1","0","0","",".253",".317",".408",".725",".309","","91","-0.1","0.1","","-0.5","0.2","0.1","","599.4","18795"
