"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Preston Tucker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".305",".391",".696",".298","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","13633"
"Rangel Ravelo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".317",".396",".713",".305","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","10839"
"Kendrys Morales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".310",".393",".702",".301","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","8610"
"Matt Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".291",".419",".710",".299","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","7226"
"Mike Napoli","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".291",".404",".695",".295","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","3057"
"Dalton Pompey","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".292",".334",".627",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","12797"
"Hanley Ramirez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".297",".385",".682",".292","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","8001"
"Matt Holliday","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".301",".372",".673",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","1873"
"Pedro Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".279",".403",".682",".288","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","2495"
"Chad Huffman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".297",".368",".665",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","5311"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".299",".356",".655",".283","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","12119"
"Victor Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".298",".363",".662",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","393"
"Jose Marmolejos","Mariners","76","310","284","69","14","1","10","32","35","21","77","2","1","1","",".245",".299",".403",".701",".297","","87","-0.1","-0.6","","-5.4","-5.8","0.0","","999.0","15767"
"Zach McKinstry","Dodgers","26","106","97","23","5","1","2","11","11","7","24","1","2","1","",".239",".299",".375",".674",".289","","79","0.0","-0.1","","-2.9","-0.8","0.0","","999.0","19392"
"Edwin Encarnacion","","68","289","250","56","9","0","15","36","40","32","75","4","1","0","",".223",".319",".439",".758",".321","","98","-1.3","0.0","","-2.2","-7.9","0.0","","999.0","2151"
"Shin-Soo Choo","","91","411","351","82","15","1","13","53","39","47","111","7","8","3","",".234",".335",".391",".726",".314","","93","-0.2","-1.1","","-4.0","-10.4","0.0","","999.0","3174"
"Jorge Ona","Padres","11","45","41","9","2","0","1","5","5","3","13","1","0","0","",".230",".294",".378",".672",".287","","77","0.0","0.0","","-1.4","-0.9","-0.1","","999.0","20040"
"Nick Heath","Royals","28","112","100","22","4","1","1","11","10","10","35","1","7","3","",".220",".294",".321",".615",".270","","63","0.3","0.1","","-5.1","0.1","-0.1","","999.0","19577"
"Yadiel Hernandez","Nationals","42","173","154","38","7","0","6","19","20","15","47","1","2","1","",".247",".317",".401",".718",".306","","84","-0.1","-0.2","","-3.8","-2.8","-0.1","","999.0","19334"
"Mark Trumbo","","24","98","89","20","4","0","4","11","12","7","27","1","1","0","",".224",".285",".416",".701",".296","","81","-0.2","-0.1","","-2.7","-2.7","-0.2","","999.0","6876"
"Rusney Castillo","","62","250","232","61","12","1","5","26","26","12","46","2","4","2","",".262",".302",".386",".687",".293","","79","-0.2","-1.7","","-7.0","-4.0","-0.2","","999.0","17016"
"Albert Pujols","Angels","100","422","386","95","16","0","17","49","56","29","68","3","2","1","",".247",".303",".421",".723",".305","","91","-2.8","-1.3","","-7.9","-10.9","-0.4","","999.0","1177"
