"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Cody Bellinger","Dodgers","150","642","546","153","30","2","41","102","114","87","115","4","12","5","",".280",".380",".566",".945",".386","","143","0.0","0.3","","36.6","0.3","5.6","","15.9","15998"
"Freddie Freeman","Braves","150","662","559","164","37","2","32","102","103","90","122","7","6","2","",".294",".396",".540",".936",".387","","138","-0.4","3.9","","32.5","-8.6","4.4","","12.1","5361"
"Anthony Rizzo","Cubs","150","663","554","149","29","2","30","97","94","82","100","21","6","3","",".269",".380",".489",".869",".365","","126","-2.9","3.9","","20.0","-8.6","3.2","","103.3","3473"
"Matt Olson","Athletics","146","629","540","130","24","1","38","87","98","74","166","9","2","1","",".241",".340",".499",".838",".348","","122","-1.3","5.5","","16.1","-6.6","3.1","","84.9","14344"
"Paul Goldschmidt","Cardinals","150","662","564","148","27","1","28","88","89","86","159","5","4","1","",".263",".363",".464",".827",".350","","119","0.2","1.2","","16.6","-11.3","2.6","","96.8","9218"
"Pete Alonso","Mets","149","649","558","135","24","1","42","95","105","70","170","14","2","1","",".242",".338",".515",".854",".352","","122","-1.6","0.9","","16.8","-11.5","2.6","","57.0","19251"
"Rhys Hoskins","Phillies","134","590","481","113","23","2","31","87","85","93","143","9","3","2","",".234",".366",".483",".849",".358","","121","-0.8","1.2","","15.3","-10.2","2.4","","162.9","16472"
"Max Muncy","Dodgers","143","615","508","118","20","1","30","86","82","92","160","8","3","1","",".232",".356",".450",".806",".343","","115","-0.1","1.6","","11.7","-8.8","2.2","","93.7","13301"
"Austin Nola","Padres","97","405","358","89","18","2","11","47","47","37","86","5","2","1","",".250",".327",".397",".724",".311","","92","-0.1","-0.3","","-4.2","6.8","1.9","","159.8","15941"
"Luke Voit","Yankees","141","615","532","135","22","1","31","86","87","67","159","9","1","1","",".253",".344",".472",".816",".344","","115","-0.9","-1.4","","10.5","-13.1","1.9","","58.8","14811"
"Carlos Santana","Royals","144","627","519","128","26","1","24","81","82","98","104","4","2","1","",".247",".368",".443",".810",".345","","114","-0.6","-0.7","","10.3","-13.6","1.8","","289.6","2396"
