"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Victor Caratini","Cubs","54","218","193","49","10","0","6","24","24","20","48","3","1","1","",".256",".332",".403",".735",".315","","93","-0.2","0.0","","-2.3","2.4","0.8","","999.0","14968"
"Alex Avila","","57","223","183","37","7","0","7","25","23","34","78","2","2","1","",".202",".332",".361",".693",".302","","85","-0.8","0.9","","-5.2","5.7","0.8","","999.0","7476"
"Luis Torrens","Mariners","90","358","324","82","18","1","9","37","38","26","67","3","2","1","",".254",".313",".396",".709",".303","","90","0.1","-1.2","","-4.3","6.3","0.7","","999.0","15905"
"Omar Narvaez","Brewers","68","276","238","58","10","0","8","30","30","31","61","3","1","0","",".243",".335",".386",".721",".313","","90","-0.5","-1.5","","-4.2","3.5","0.7","","999.0","13338"
"Manny Pina","Brewers","40","160","143","34","7","0","5","17","18","11","39","3","1","0","",".237",".303",".390",".693",".296","","78","-0.4","1.1","","-5.0","4.0","0.7","","999.0","2829"
"Tyler Stephenson","Reds","45","185","164","40","8","0","5","21","21","16","41","3","1","0","",".244",".317",".399",".715",".307","","85","0.2","0.2","","-3.6","3.9","0.6","","999.0","17988"
"Curt Casali","","45","178","156","37","7","0","6","20","20","17","44","2","2","1","",".234",".315",".391",".705",".303","","86","-0.2","-0.2","","-3.6","3.6","0.6","","999.0","12510"
"Jonah Heim","Athletics","36","142","129","32","6","0","3","15","15","10","24","1","1","0","",".250",".307",".379",".686",".294","","84","0.1","0.5","","-2.8","3.5","0.6","","999.0","16930"
"Joey Bart","Giants","41","160","147","37","7","1","5","17","18","8","42","2","1","1","",".250",".297",".412",".709",".299","","86","0.1","-0.6","","-2.9","2.8","0.5","","999.0","21524"
"Tyler Heineman","","48","190","171","42","8","1","4","20","19","14","33","2","2","1","",".246",".312",".375",".687",".296","","83","0.0","0.2","","-4.3","4.2","0.5","","999.0","13897"
"Anthony Bemboom","Angels","53","205","183","38","7","1","5","21","20","17","54","2","2","1","",".210",".284",".332",".616",".268","","66","-0.1","1.3","","-9.1","5.7","0.5","","999.0","13854"
"Russell Martin","","30","120","101","21","4","0","3","13","12","15","31","2","1","0","",".210",".324",".344",".668",".294","","80","-0.4","-0.3","","-3.5","2.2","0.5","","999.0","4616"
"Tom Murphy","Mariners","64","261","238","50","10","1","10","27","30","17","90","3","2","1","",".208",".267",".386",".652",".276","","72","0.1","0.3","","-9.1","2.8","0.5","","999.0","13499"
"Zack Collins","White Sox","33","133","111","23","5","0","5","16","15","18","41","1","1","0","",".210",".325",".386",".711",".308","","92","0.0","-0.2","","-1.3","2.6","0.5","","999.0","19181"
"Cam Gallagher","Royals","35","134","120","29","6","0","3","14","13","10","26","2","1","0","",".243",".307",".364",".671",".290","","76","-0.2","-0.1","","-4.3","2.8","0.4","","999.0","12981"
"Chad Wallach","Marlins","69","275","246","51","11","1","7","26","26","22","83","3","2","1","",".206",".276",".338",".614",".266","","65","0.2","0.6","","-12.7","6.4","0.4","","999.0","17161"
"Michael Perez","Pirates","60","233","208","48","10","0","6","24","24","19","58","2","2","1","",".230",".299",".371",".671",".289","","77","-0.4","0.6","","-7.5","5.6","0.4","","999.0","12977"
"Kevin Plawecki","Red Sox","42","169","150","37","8","1","4","19","19","14","36","3","1","1","",".248",".320",".393",".714",".307","","85","-0.5","-0.3","","-3.8","3.3","0.4","","999.0","13807"
"Kurt Suzuki","","59","240","217","54","11","0","9","28","30","16","36","5","1","0","",".251",".315",".427",".742",".314","","93","-0.8","-1.8","","-2.9","3.1","0.4","","999.0","8259"
"Reese McGuire","Blue Jays","36","141","128","29","6","0","4","15","15","10","31","1","1","1","",".229",".290",".366",".657",".281","","73","0.1","-0.3","","-4.9","2.7","0.4","","999.0","15674"
"Pedro Severino","Orioles","64","263","235","57","10","1","9","29","30","22","58","3","2","1","",".243",".312",".402",".714",".305","","86","-0.3","-0.5","","-4.9","3.5","0.4","","999.0","14523"
"Jake Rogers","Tigers","45","177","156","33","6","1","6","19","19","16","53","2","1","1","",".210",".289",".377",".666",".286","","74","0.0","0.0","","-5.9","3.8","0.3","","999.0","19452"
"Dustin Garneau","","30","117","103","23","5","1","4","13","13","10","31","2","1","0","",".219",".299",".385",".685",".294","","80","-0.1","-0.3","","-3.2","2.2","0.3","","999.0","9433"
"Stephen Vogt","Diamondbacks","55","226","203","47","11","1","7","25","26","18","53","2","2","1","",".230",".297",".402",".699",".297","","80","-0.4","-1.0","","-6.4","2.7","0.3","","999.0","5000"
"Dom Nunez","Rockies","53","210","184","41","8","1","7","24","23","21","56","2","3","1","",".223",".308",".391",".699",".299","","68","0.2","-0.3","","-8.8","4.1","0.3","","999.0","15055"
"Austin Romine","","59","230","212","51","11","0","6","24","26","13","61","2","1","1","",".242",".288",".388",".676",".287","","75","-0.6","-0.1","","-8.1","4.8","0.3","","999.0","5491"
"Chad Tromp","Giants","18","71","64","15","3","0","2","8","8","5","17","1","1","0","",".236",".298",".393",".691",".295","","83","0.0","0.0","","-1.6","1.5","0.3","","999.0","16953"
"Rafael Marchan","Phillies","38","150","137","34","7","0","3","16","15","10","26","2","2","1","",".246",".302",".369",".671",".288","","74","0.1","-0.2","","-5.0","3.0","0.3","","999.0","21646"
