Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
469	Graterol, Brusdar	LAD	P	523.38	271	623		132		
470	Duffy, Danny	KC	P	523.39	345	592		145		
471	Brubaker, JT	PIT	P	524.67	346	587		138		
472	Brault, Steven	PIT	P	525.44	344	640		140		
473	Gilbert, Logan	SEA	P	530.30	361	599		133		
474	Quinn, Roman	PHI	OF	530.49	275	598		131		
475	Dobnak, Randy	MIN	P	530.66	275	599		138		
476	Davis, Khris	TEX	UT	531.71	295	616		140		
477	Arihara, Kohei	TEX	P	533.03	247	662		138		
478	Valaika, Pat	BAL	1B, 2B, SS	534.54	333	600		139		
479	Newman, Kevin	PIT	2B, SS	535.65	356	594		135		
480	Wacha, Michael	TB	P	536.06	371	589		138		
481	Bubic, Kris	KC	P	537.21	337	593		132		
482	Pinder, Chad	OAK	2B, 3B	538.49	381	577		132		
483	Pivetta, Nick	BOS	P	539.08	358	597		138		
484	Galvis, Freddy	BAL	2B, SS	541.06	335	609		131		
485	May, Trevor	NYM	P	543.32	219	579		124		
486	Sisco, Chance	BAL	C	543.49	356	582		135		
487	Castro, Jason	HOU	C	545.31	263	655		134		
488	Knizner, Andrew	STL	C	547.07	352	630		135		
489	Manning, Matt	DET	P	547.11	285	620		134		
490	Stevenson, Andrew	WAS	OF	547.90	319	615		133		
491	Gibson, Kyle	TEX	P	548.06	246	644		138		
492	Gomber, Austin	COL	P	552.76	360	651		132		
493	Ottavino, Adam	BOS	P	552.91	251	744		108		
494	Morejon, Adrian	SD	P	553.95	303	685		131		
495	Ruiz, Rio	BAL	3B	555.23	375	619		132		
496	Mayers, Mike	LAA	P	556.24	299	699		128		
497	Akin, Keegan	BAL	P	556.56	292	626		132		
498	Zunino, Mike	TB	C	556.79	349	658		137		
499	Oliva, Jared	PIT	OF	557.02	305	592		125		
500	Andujar, Miguel	NYY	OF	557.12	370	580		128		
501	Crawford, Brandon	SF	SS	557.86	208	593		131		
502	Soto, Gregory	DET	P	557.87	277	554		117		
503	Velasquez, Vince	PHI	P	559.14	380	585		135		
504	Kremer, Dean	BAL	P	560.68	395	617		132		
505	Cueto, Johnny	SF	P	560.91	332	641		136		
506	Choi, Ji-Man	TB	1B	562.47	331	600		130		
507	Soria, Joakim	ARZ	P	563.61	187	741		114		
508	Wright, Kyle	ATL	P	564.79	375	630		129		
509	Downs, Jeter	BOS	SS	565.13	370	612		129		
510	Schmidt, Clarke	NYY	P	565.67	349	628		129		
511	Senzatela, Antonio	COL	P	566.14	343	725		138		
512	Whitley, Forrest	HOU	P	566.40	351	607		131		
513	Choo, Shin-Soo	TEX	OF	569.24	382	665		130		
514	Cabrera, Asdrubal	ARZ	1B, 3B	570.09	336	638		133		
515	Tanaka, Masahiro	NYY	P	571.99	231	649		76		
516	Lester, Jon	WAS	P	572.03	338	744		140		
517	Stewart, DJ	BAL	OF	572.66	413	598		124		
518	Crochet, Garrett	CWS	P	573.07	321	681		122		
519	Dolis, Rafael	TOR	P	573.74	264	714		121		
520	Torkelson, Spencer	DET	3B	573.77	315	654		127		
521	Shoemaker, Matt	TOR	P	575.91	419	656		126		
522	Taylor, Michael A.	KC	OF	577.77	387	654		125		
523	Paredes, Isaac	DET	3B	579.06	342	604		120		
524	Matz, Steven	TOR	P	581.51	375	692		129		
525	Osuna, Roberto	HOU	P	582.59	284	732		123		
526	Alberto, Hanser	BAL	2B	583.32	361	723		126		
527	Barnes, Austin	LAD	C	586.67	396	634		129		
528	Suter, Brent	MLW	P	586.93	365	597		118		
529	Barlow, Scott	KC	P	587.77	406	738		119		
530	Jeffress, Jeremy	CHC	P	587.83	318	657		119		
531	Cabrera, Edward	MIA	P	588.92	423	656		114		
532	Mazara, Nomar	DET	OF	591.01	383	634		122		
533	Dunn, Justin	SEA	P	593.09	406	684		126		
534	Wick, Rowan	CHC	P	594.32	364	604		114		
535	Locastro, Tim	ARZ	OF	596.22	334	603		115		
536	Wittgren, Nick	CLE	P	596.59	343	654		116		
537	Brujan, Vidal	TB	2B	598.23	428	701		116		
538	Tejeda, Anderson	TEX	SS	599.99	406	677		116		
539	Sandoval, Patrick	LAA	P	601.30	407	700		117		
540	Marsh, Brandon	LAA	OF	602.02	346	670		115		
541	Desmond, Ian	COL	OF	604.99	311	664		119		
542	Freeland, Kyle	COL	P	606.38	334	658		118		
543	Cobb, Alex	LAA	P	606.72	388	712		117		
544	Jones, Nolan	CLE	3B	607.05	429	678		120		
545	Gonzalez, Erik	PIT	3B, SS	611.06	459	627		116		
546	Romine, Austin	CHC	C	611.74	410	713		116		
547	Moreland, Mitch	SD	1B	612.68	360	633		111		
548	Rodriguez, Julio	SEA	OF	614.86	360	713		116		
549	Garcia, Luis	WAS	2B	615.17	391	684		110		
550	Green, Chad	NYY	P	616.61	440	700		116		
551	Rogers, Tyler	SF	P	617.16	298	714		108		
552	Minter, A.J.	ATL	P	618.85	349	720		114		
553	Tauchman, Mike	NYY	OF	619.51	405	665		106		
554	Knebel, Corey	LAD	P	623.46	355	724		112		
555	Flexen, Chris	SEA	P	623.84	386	699		113		
556	Shaw, Travis	TOR	1B, 3B	626.34	385	720		109		
557	Lucchesi, Joey	NYM	P	628.52	408	701		108		
558	Carpenter, Matt	STL	3B	628.53	418	672		103		
559	Loaisiga, Jonathan	NYY	P	628.93	445	679		113		
560	Kuhl, Chad	PIT	P	629.88	458	702		109		
561	Aquino, Aristides	CIN	OF	630.78	409	724		108		
562	Wisler, Matt	SF	P	633.37	374	715		107		
563	McKay, Brendan	TB	P	634.92	444	688		106		
564	Webb, Logan	SF	P	635.33	408	658		96		
565	Brinson, Lewis	MIA	OF	635.99	433	686		99		
566	Bauers, Jake	CLE	1B, OF	636.51	453	679		105		
567	Alford, Anthony	PIT	OF	636.87	420	748		103		
568	Alvarado, Jose	PHI	P	637.34	395	697		108		
569	Scott, Tanner	BAL	P	638.21	361	697		102		
570	Jefferies, Daulton	OAK	P	638.62	463	692		100		
571	Jimenez, Joe	DET	P	639.39	360	718		97		
572	Wilson, Bryse	ATL	P	639.70	449	706		98		
573	Casali, Curt	SF	C	641.03	359	717		102		
574	Miller, Andrew	STL	P	642.08	449	739		112		
575	Honeywell Jr., Brent	TB	P	642.42	362	749		109		
576	Plawecki, Kevin	BOS	C	642.84	397	718		103		
577	Barria, Jaime	LAA	P	643.42	460	747		97		
578	Fowler, Dexter	LAA	OF	644.40	392	730		97		
579	Martin, Corbin	ARZ	P	646.01	396	743		103		
580	Fiers, Mike	OAK	P	648.16	353	746		103		
581	Lewis, Royce	MIN	SS	649.32	455	741		107		
582	Hamels, Cole	ATL	P	649.72	440	683		107		
583	McClanahan, Shane	TB	P	650.78	453	722		103		
584	Trivino, Lou	OAK	P	650.96	350	735		101		
585	Knapp, Andrew	PHI	C	651.57	447	723		101		
586	Jung, Josh	TEX	3B	652.92	349	717		103		
587	Waters, Drew	ATL	OF	653.17	364	750		99		
588	Porcello, Rick	NYM	P	653.22	401	716		99		
589	Lynch, Daniel	KC	P	653.24	422	727		87		
590	Oberg, Scott	COL	P	655.63	281	742		99		
591	Ross, Joe	WAS	P	655.72	406	734		104		
592	Encarnacion, Edwin	CWS	UT	655.78	400	747		99		
593	Perez, Martin	BOS	P	655.90	361	726		104		
594	Fulmer, Michael	DET	P	656.65	407	728		107		
595	Harrison, Monte	MIA	OF	659.84	395	736		95		
596	Santana, Danny	TEX	1B	659.98	401	748		93		
597	Long Jr., Shed	SEA	2B	661.38	470	694		89		
598	Givens, Mychal	COL	P	661.46	430	747		103		
599	Foltynewicz, Mike	TEX	P	662.23	379	746		96		
600	Vogelbach, Daniel	MLW	UT	665.41	367	737		93		
601	Garcia, Jose	CIN	SS	666.40	461	727		85		
602	Doolittle, Sean	CIN	P	666.82	298	743		66		
603	Moore, Matt	PHI	P	666.92	331	694		73		
604	Hernandez, Darwinzon	BOS	P	667.69	328	739		90		
605	Smith, Pavin	ARZ	1B	667.70	495	699		86		
606	Matzek, Tyler	ATL	P	669.93	461	722		88		
607	Gyorko, Jedd	MLW	1B, 3B	670.23	448	748		89		
608	Miller, Brad	PHI	3B	671.07	478	719		83		
609	Johnson, Daniel	CLE	OF	672.34	496	724		90		
610	Gardner, Brett	NYY	OF	673.10	479	715		82		
611	Rodon, Carlos	CWS	P	673.82	433	749		91		
612	Rooker, Brent	MIN	OF	674.44	477	745		89		
613	Adams, Austin	SD	P	674.51	430	714		81		
614	Garcia, Leury	CWS	SS	675.18	455	714		80		
615	Kela, Keone	SD	P	675.36	348	749		88		
616	Workman, Brandon	PHI	P	676.55	263	750		87		
617	Engel, Adam	CWS	OF	676.93	450	728		87		
618	Pujols, Albert	LAA	1B	677.14	467	739		91		
619	Ruiz, Keibert	LAD	C	678.80	515	731		88		
620	Lopez, Reynaldo	CWS	P	678.95	439	721		83		
621	Duran, Jarren	BOS	OF	679.60	394	747		82		
622	Urena, Jose	DET	P	679.90	420	748		92		
623	Garcia, Luis	HOU	P	680.20	448	713		80		
624	Rodriguez, Joely	TEX	P	680.57	464	742		85		
625	Heim, Jonah	TEX	C	680.75	424	747		84		
626	Harrison, Josh	WAS	2B, 3B	681.66	460	725		77		
627	Ginkel, Kevin	ARZ	P	681.90	475	728		84		
628	Rojas, Josh	ARZ	2B	683.66	501	744		80		
629	Zimmer, Bradley	CLE	OF	683.67	452	734		80		
630	Chatwood, Tyler	TOR	P	684.71	347	749		83		
631	Sanchez, Yolmer	BAL	3B	684.75	463	721		77		
632	Lowe, Josh	TB	OF	686.13	475	748		86		
633	Diaz, Lewin	MIA	1B	686.59	434	724		75		
634	Greene, Shane	ATL	P	687.23	387	747		85		
635	Evans, Demarcus	TEX	P	687.32	453	736		86		
636	Braun, Ryan	MLW	OF	687.78	474	728		72		
637	Hahn, Jesse	KC	P	688.06	431	746		77		
638	Williams, Trevor	CHC	P	691.37	438	747		75		
639	Norris, Daniel	DET	P	691.71	432	728		79		
640	Voth, Austin	WAS	P	692.59	374	743		79		
641	Inciarte, Ender	ATL	OF	694.33	466	717		70		
642	Camargo, Johan	ATL	2B, 3B	694.47	491	727		76		
643	Astudillo, Willians	MIN	C	694.52	521	734		78		
644	Brogdon, Connor	PHI	P	695.56	506	746		77		
645	Haseley, Adam	PHI	OF	696.30	508	750		79		
646	Graveman, Kendall	SEA	P	696.49	507	745		74		
647	Allen, Logan	CLE	P	697.20	430	747		79		
648	Tucker, Cole	PIT	OF	697.43	527	721		73		
649	Larnach, Trevor	MIN	OF	697.43	357	746		77		
650	Johnson, Pierce	SD	P	697.69	436	749		79		
651	Baez, Pedro	HOU	P	697.81	374	748		77		
652	Diaz, Isan	MIA	2B	698.48	499	748		73		
653	Cave, Jake	MIN	OF	700.74	495	750		77		
654	Gray, Josiah	LAD	P	700.87	450	742		61		
655	Arrieta, Jake	CHC	P	701.06	398	749		73		
656	Lauer, Eric	MLW	P	702.10	516	733		73		
657	McGee, Jake	SF	P	702.11	310	744		39		
658	Lamb, Jake	OAK	1B, 3B	702.37	419	750		70		
659	Anderson, Brett	MLW	P	702.56	525	747		69		
660	Lopez, Nicky	KC	2B	702.75	483	750		69		
661	Miley, Wade	CIN	P	702.86	514	749		73		
662	Hedges, Austin	CLE	C	702.95	456	745		74		
663	Marquez, Brailyn	CHC	P	703.51	486	749		74		
664	Sugano, Tomoyuki	FA	P	703.71	251	748		46		
665	Strange-Gordon, Dee	SEA	2B, OF	704.26	340	748		60		
666	Toro, Abraham	HOU	3B	704.82	509	748		72		
667	Nottingham, Jacob	MLW	C	704.98	488	747		63		
668	Paredes, Enoli	HOU	P	705.08	471	747		70		
669	Thomas, Lane	STL	OF	705.51	520	744		66		
670	Cabrera, Genesis	STL	P	705.74	469	749		75		
671	Cisnero, Jose	DET	P	706.69	485	721		67		
672	Cody, Kyle	TEX	P	706.76	528	747		63		
673	Diaz, Aledmys	HOU	2B	708.15	542	749		67		
674	Munoz, Andres	SEA	P	709.11	479	743		63		
675	Ryan, Joe	TB	P	709.49	498	730		68		
676	Petit, Yusmeiro	OAK	P	709.49	470	748		74		
677	Ward, Taylor	LAA	OF	709.77	527	747		61		
678	Gonzalez, Victor	LAD	P	711.28	485	746		65		
679	Lyles, Jordan	TEX	P	711.74	483	748		54		
680	Balazovic, Jordan	MIN	P	712.25	497	749		61		
681	Robles, Hansel	MIN	P	713.51	413	746		63		
682	Kowar, Jackson	KC	P	713.58	552	745		67		
683	Wade, Tyler	NYY	2B, SS	713.85	544	749		66		
684	Bleday, JJ	MIA	OF	714.70	490	747		60		
685	Marmolejos, Jose	SEA	OF	714.90	425	750		55		
686	Beer, Seth	ARZ	1B	715.22	518	749		60		
687	Fraley, Jake	SEA	OF	715.46	536	735		58		
688	Heuer, Codi	CWS	P	715.48	484	750		59		
689	Reddick, Josh	HOU	OF	715.79	481	749		61		
690	De Leon, Jose	CIN	P	716.22	543	746		58		
691	Kemp, Tony	OAK	2B	716.25	528	732		60		
692	Gallagher, Cam	KC	C	717.01	460	748		59		
693	Sierra, Magneuris	MIA	OF	717.09	500	747		60		
694	Brown, Seth	OAK	1B	717.41	415	741		55		
695	Lodolo, Nick	CIN	P	717.52	519	745		52		
696	Guzman, Ronald	TEX	1B	717.52	396	745		56		
697	Roark, Tanner	TOR	P	717.79	502	748		55		
698	Maton, Phil	CLE	P	718.82	549	749		63		
699	Ruf, Darin	SF	OF	719.57	488	750		55		
700	Hatch, Tom	TOR	P	720.31	485	743		55		
701	Nunez, Dom	COL	C	721.70	534	750		56		
702	Valdez, Cesar	BAL	P	722.05	506	743		55		
703	Pina, Manny	MLW	C	722.42	462	750		53		
704	Foster, Matt	CWS	P	723.14	494	745		56		
705	Ford, Mike	NYY	1B	723.27	542	748		50		
706	Smith, Mallex	SEA	OF	723.54	435	749		48		
707	Vogt, Stephen	ARZ	C	723.76	215	748		49		
708	Cameron, Daz	DET	OF	724.30	508	750		56		
709	Contreras, William	ATL	C	724.51	497	749		50		
710	Hudson, Dakota	STL	P	725.26	370	750		25		
711	Goodwin, Brian	CIN	OF	725.56	530	747		49		
712	Stephenson, Robert	COL	P	725.91	501	750		49		
713	Allard, Kolby	TEX	P	726.45	507	744		48		
714	Helsley, Ryan	STL	P	726.91	469	749		53		
715	Kaprielian, James	OAK	P	727.48	499	750		50		
716	Lee, Khalil	NYM	OF	728.07	534	749		53		
717	Margevicius, Nick	SEA	P	728.54	519	742		47		
718	Trammell, Taylor	SEA	OF	728.68	523	750		49		
719	Pena, Felix	LAA	P	728.77	559	750		54		
720	Crick, Kyle	PIT	P	728.89	404	750		57		
721	Witt Jr., Bobby	KC	SS	729.31	369	749		43		
722	Allen, Austin	OAK	C	729.79	516	750		46		
723	DeShields, Delino	CLE	OF	729.82	540	750		49		
724	Gant, John	STL	P	729.83	569	741		49		
725	Anderson, Chase	PHI	P	730.47	502	747		45		
726	Greiner, Grayson	DET	C	730.70	500	737		38		
727	Beede, Tyler	SF	P	730.90	523	750		47		
728	James, Josh	HOU	P	731.01	532	749		50		
729	Teheran, Julio	LAA	P	731.13	518	749		39		
730	Campusano, Luis	SD	UT	731.17	336	747		38		
731	Wallach, Chad	MIA	C	731.33	437	743		40		
732	Ramirez, Yohan	SEA	P	731.90	440	750		36		
733	McCormick, Chas	HOU	OF	732.52	482	742		32		
734	Sanchez, Anibal	WAS	P	733.07	474	749		36		
735	Hoffman, Jeff	CIN	P	733.11	560	748		52		
736	Stratton, Chris	PIT	P	733.39	443	750		39		
737	Castro, Harold	DET	OF	733.40	426	750		33		
738	Marshall, Evan	CWS	P	734.25	467	742		36		
739	Flowers, Tyler	ATL	C	734.28	533	748		43		
740	Duran, Jhoan	MIN	P	734.41	519	749		42		
741	Arroyo, Christian	BOS	2B	734.49	514	748		37		
742	Evans, Phillip	PIT	3B	734.66	322	750		44		
743	Buttrey, Ty	LAA	P	734.99	531	748		38		
744	Haggerty, Sam	SEA	OF	735.16	544	742		34		
745	Cruz, Oneil	PIT	SS	735.26	573	750		35		
746	Anderson, Tyler	SF	P	735.39	479	750		36		
747	Sung-bum, Na	FA	OF	735.40	450	660		13		
748	Watson, Tony	SF	P	735.44	535	747		37		
749	Betances, Dellin	NYM	P	735.96	462	750		30		
750	McBroom, Ryan	KC	1B	736.11	449	749		37		
751	Strahm, Matt	SD	P	736.16	531	744		39		
752	Diaz, Yusniel	BAL	UT	736.39	489	749		33		
753	Rogers, Jake	DET	C	736.45	522	743		33		
754	Tate, Dillon	BAL	P	736.76	338	747		27		
755	Leon, Pedro	FA	OF	736.96	411	750		20		
756	Alcala, Jorge	MIN	P	737.07	532	750		35		
757	Romo, Sergio	OAK	P	737.26	328	745		26		
758	Harris, Will	WAS	P	737.35	554	750		37		
759	Collins, Zack	CWS	UT	737.53	593	750		38		
760	VanMeter, Josh	ARZ	2B	737.67	503	748		30		
761	Kirby, George	SEA	P	737.70	460	750		33		
762	Andriese, Matt	BOS	P	737.75	567	749		33		
763	Richards, Trevor	TB	P	738.22	540	748		26		
764	Bruce, Jay	PHI	OF	738.24	523	748		23		
765	Farmer, Kyle	CIN	2B, SS	738.45	545	748		33		
766	Vosler, Jason	SF	3B	738.56	541	743		31		
767	Sawamura, Hirokazu	FA	P	738.89	443	748		18		
768	Gorman, Nolan	STL	3B	739.44	448	747		22		
769	Avila, Alex	WAS	C	739.93	541	746		28		
770	Martin, Richie	BAL	SS	739.99	528	750		24		
771	Barreto, Franklin	LAA	2B	740.34	556	747		24		
772	Lopes, Tim	MLW	OF	740.43	399	748		35		
773	Stewart, Christin	DET	OF	740.63	453	749		26		
774	King, Michael	NYY	P	740.64	402	746		28		
775	Munoz, Yairo	BOS	OF	740.75	605	742		33		
776	Yajure, Miguel	PIT	P	740.83	521	743		20		
777	India, Jonathan	CIN	3B	741.26	529	749		31		
778	Frazier, Todd	NYM	1B, 3B	741.33	545	746		21		
779	Mateo, Jorge	SD	OF	741.34	502	746		25		
780	Cespedes, Yoelkis	CWS	OF	741.47	518	741		14		
781	Jackson, Alex	ATL	C	741.53	481	750		21		
782	Urias, Ramon	BAL	SS	741.63	527	744		21		
783	Cespedes, Yoenis	NYM	UT	741.74	401	750		23		
784	Naquin, Tyler	CLE	OF	741.78	544	743		22		
785	Young, Alex	ARZ	P	742.00	580	740		26		
786	Zimmer, Kyle	KC	P	742.13	577	749		31		
787	Rodriguez, Grayson	BAL	P	742.17	480	747		11		
788	Plutko, Adam	CLE	P	742.25	559	746		23		
789	McHugh, Collin	TB	P	742.70	532	749		20		
790	Weathers, Ryan	SD	P	742.78	511	749		21		
791	Welker, Colton	COL	UT	742.87	531	746		18		
792	Liberatore, Matt	STL	P	742.99	564	748		22		
793	O'Hearn, Ryan	KC	1B	742.99	447	748		15		
794	Apostel, Sherten	TEX	1B	743.01	551	750		26		
795	Merryweather, Julian	TOR	P	743.01	564	749		25		
796	Garrett, Braxton	MIA	P	743.08	529	748		19		
797	Panik, Joe	TOR	2B, 3B, SS	743.16	527	747		21		
798	Bird, Greg	PHI	UT	743.18	508	745		12		
799	Raleigh, Cal	SEA	C	743.34	532	747		15		
800	Curtiss, John	TB	P	743.36	562	750		26		
801	Freeman, Tyler	CLE	SS	743.51	586	744		25		
802	Junis, Jakob	KC	P	743.66	531	748		16		
803	Gennett, Scooter	SF	2B	743.70	475	588		6		
804	Samardzija, Jeff	SF	P	743.70	517	737		16		
805	Jones, Jahmai	BAL	2B	743.72	582	748		19		
806	Middleton, Keynan	SEA	P	743.95	563	749		19		
807	Almora Jr., Albert	NYM	OF	744.02	420	740		11		
808	Casas, Triston	BOS	1B	744.33	587	747		19		
809	Guillorme, Luis	NYM	2B	744.49	560	742		15		
810	Sogard, Eric	MLW	2B, 3B, SS	744.51	584	748		22		
811	Luplow, Jordan	CLE	OF	744.79	541	749		18		
812	Neuse, Sheldon	LAD	2B	744.86	500	741		19		
813	Bailey, Homer	MIN	P	744.89	493	746		18		
814	Abbott, Cory	CHC	P	744.90	589	744		15		
815	Tom, Ka'ai	OAK	UT	745.22	497	749		13		
816	Sulser, Cole	BAL	P	745.34	369	748		5		
817	Beaty, Matt	LAD	1B	745.36	620	750		16		
818	Hamilton, Billy	CHC	OF	745.47	493	737		9		
819	Weems, Jordan	OAK	P	745.59	596	744		14		
820	Ramos, Heliot	SF	OF	745.60	486	747		13		
821	Abreu, Bryan	HOU	P	745.63	598	749		16		
822	Colas, Oscar	FA	OF	745.70	550	740		12		
823	Verlander, Justin	HOU	P	745.78	326	746		8		
824	Hoyt, James	MIA	P	745.79	486	743		11		
825	Blankenhorn, Travis	MIN	2B	745.80	445	709		6		
826	Garcia, Jarlin	SF	P	745.85	566	739		9		
827	Robertson, David	PHI	P	745.89	469	696		6		
828	Raley, Brooks	HOU	P	745.94	542	740		9		
829	Peraza, Jose	BOS	2B	745.97	637	749		18		
830	Holmes, Grant	OAK	P	745.98	642	746		17		
831	Smith, Burch	OAK	P	746.18	630	748		18		
832	Brasier, Ryan	BOS	P	746.28	585	749		13		
833	Borucki, Ryan	TOR	P	746.29	523	748		10		
834	Chirinos, Robinson	NYM	C	746.43	594	750		22		
835	Diaz, Jairo	COL	P	746.43	580	734		9		
836	Sanchez, Jesus	MIA	OF	746.55	633	749		17		
837	Medina, Luis	NYY	P	746.56	479	739		4		
838	Stashak, Cody	MIN	P	746.68	559	736		12		
839	Perez, Michael	PIT	C	746.69	661	746		18		
840	Bradley, Bobby	CLE	UT	746.74	525	750		10		
841	Robinson, Kristian	ARZ	OF	746.76	530	586		4		
842	Kay, Anthony	TOR	P	746.81	541	746		10		
843	Adrianza, Ehire	MIN	3B, SS	746.83	492	721		6		
844	Fedde, Erick	WAS	P	746.87	527	746		9		
845	Chang, Yu	CLE	SS	746.88	562	700		5		
846	Owings, Chris	COL	2B	746.89	611	748		15		
847	McKinstry, Zach	LAD	UT	746.97	610	750		12		
848	Davis, Jaylin	SF	OF	747.07	513	737		7		
849	Clevinger, Mike	SD	P	747.20	303	537		2		
850	Markakis, Nick	ATL	OF	747.21	561	743		9		
851	Taylor, Tyrone	MLW	OF	747.27	583	750		8		
852	Moss, Scott	CLE	P	747.32	547	726		6		
853	Souza Jr., Steven	CHC	OF	747.34	621	737		11		
854	Murphy, Daniel	COL	1B	747.34	546	749		9		
855	Martin, Austin	TOR	SS	747.35	482	748		9		
856	Farmer, Buck	DET	P	747.36	545	749		7		
857	Clarke, Taylor	ARZ	P	747.37	519	744		11		
858	Castillo, Jose	SD	P	747.47	630	747		11		
859	Tomlin, Josh	ATL	P	747.48	454	746		5		
860	Woods-Richardson, Simeon	TOR	P	747.57	597	742		11		
861	Yang, Hyeon-jong	FA	P	747.60	564	704		6		
862	Heath, Nick	KC	OF	747.63	483	718		5		
863	Miller, Owen	CLE	SS	747.67	590	747		11		
864	Holland, Derek	PIT	P	747.68	314	724		4		
865	Delaplane, Sam	SEA	P	747.70	560	749		16		
866	Luciano, Marco	SF	SS	747.70	567	730		5		
867	Solomon, Peter	HOU	P	747.89	558	737		4		
868	Fisher, Derek	TOR	OF	747.90	570	743		8		
869	Lowther, Zac	BAL	P	747.90	630	743		12		
870	Allen, Greg	NYY	OF	747.94	653	749		15		
871	Smeltzer, Devin	MIN	P	747.99	587	744		8		
872	Adam, Jason	CHC	P	748.02	569	717		8		
873	Marisnick, Jake	CHC	OF	748.13	571	731		6		
874	Hirano, Yoshihisa	SEA	P	748.22	629	738		8		
875	Palumbo, Joe	TEX	P	748.25	666	745		13		
876	Greene, Hunter	CIN	P	748.26	646	742		11		
877	Stanek, Ryne	HOU	P	748.29	533	735		4		
878	Giles, Ken	TOR	P	748.31	415	724		4		
879	Topa, Justin	MLW	P	748.35	597	683		4		
880	Bannon, Rylan	BAL	UT	748.35	587	745		6		
881	Ivey, Tyler	HOU	P	748.36	648	750		12		
882	Taylor, Blake	HOU	P	748.36	461	746		4		
883	Wolters, Tony	COL	C	748.39	642	749		10		
884	Cederlind, Blake	PIT	P	748.44	631	750		15		
885	Fowler, Dustin	OAK	UT	748.44	504	717		3		
886	Wilson, Justin	NYM	P	748.48	569	646		3		
887	Devenski, Chris	HOU	P	748.50	539	693		3		
888	Abrams, CJ	SD	SS	748.53	502	743		5		
889	O'Day, Darren	NYY	P	748.54	554	746		5		
890	Leake, Mike	ARZ	P	748.58	616	737		7		
891	Detmers, Reid	LAA	P	748.59	660	748		13		
892	Toussaint, Touki	ATL	P	748.59	659	747		14		
893	Arauz, Jonathan	BOS	2B	748.60	545	652		3		
894	Feliz, Michael	PIT	P	748.62	633	740		9		
895	Crowe, Wil	PIT	P	748.64	663	747		10		
896	Phillips, Brett	TB	OF	748.66	592	748		5		
897	Holder, Kyle	CIN	UT	748.66	516	735		5		
898	Kipnis, Jason	CHC	2B	748.67	588	688		4		
899	Zimmerman, Ryan	WAS	UT	748.71	591	744		6		
900	Santana, Dennis	LAD	P	748.72	547	733		3		
901	Zimmermann, Bruce	BAL	P	748.82	617	687		4		
902	Almonte, Yency	COL	P	748.85	601	742		6		
903	Montero, Elehuris	COL	UT	748.87	418	743		3		
904	Misiewicz, Anthony	SEA	P	748.87	552	743		6		
905	Ramirez, Noe	CIN	P	748.91	464	716		3		
906	Nido, Tomas	NYM	C	748.95	669	745		10		
907	Floro, Dylan	MIA	P	748.99	581	743		4		
908	Martinez, Jose	CHC	UT	748.99	607	750		9		
909	Duplantier, Jon	ARZ	P	749.05	601	750		6		
910	Yamamoto, Jordan	NYM	P	749.07	575	750		5		
911	Castillo, Welington	WAS	C	749.09	501	750		7		
912	Romero, Seth	WAS	P	749.11	559	746		4		
913	Daza, Yonathan	COL	UT	749.13	581	742		4		
914	Hernandez, Felix	ATL	P	749.14	628	724		5		
915	Baz, Shane	TB	P	749.16	649	749		9		
916	McGuire, Reese	TOR	C	749.16	599	738		5		
917	Thompson, Zack	STL	P	749.17	608	736		4		
918	Walls, Taylor	TB	UT	749.18	653	741		8		
919	Jackson, Luke	ATL	P	749.21	548	716		3		
920	Lopez, Yoan	ARZ	P	749.24	593	746		4		
921	Meyer, Max	MIA	P	749.27	616	750		7		
922	Sosa, Edmundo	STL	UT	749.29	596	608		2		
923	O'Grady, Brian	SD	OF	749.32	652	748		7		
924	Osuna, Jose	PIT	1B, OF	749.32	488	721		2		
925	Szapucki, Thomas	NYM	P	749.33	624	741		4		
926	Coonrod, Sam	PHI	P	749.33	554	658		2		
927	Cahill, Trevor	SF	P	749.39	538	748		5		
928	Mercedes, Yermin	CWS	UT	749.40	487	737		2		
929	Kelly, Joe	LAD	P	749.43	588	737		4		
930	Mathisen, Wyatt	ARZ	3B	749.45	645	732		5		
931	Lacy, Asa	KC	P	749.45	664	730		5		
932	Chirinos, Yonny	TB	P	749.46	516	718		2		
933	Newsome, Ljay	SEA	P	749.47	541	740		3		
934	Young, Andy	ARZ	2B	749.51	685	750		8		
935	Widener, Taylor	ARZ	P	749.51	561	742		3		
936	Davis, Chris	BAL	1B	749.56	593	744		5		
937	Tromp, Chadwick	SF	C	749.57	670	750		8		
938	Castro, Miguel	NYM	P	749.59	645	724		4		
939	Swaggerty, Travis	PIT	OF	749.61	654	723		4		
940	Burdi, Nick	PIT	P	749.61	536	725		2		
941	Grullon, Deivy	CIN	C	749.66	517	517		1		
942	Alexander, Tyler	DET	P	749.70	684	740		6		
943	Vesia, Alex	LAD	P	749.72	642	745		6		
944	Amaya, Miguel	CHC	UT	749.73	584	737		4		
945	Ferguson, Caleb	LAD	P	749.75	647	735		3		
946	Ober, Bailey	MIN	P	749.75	592	726		3		
947	Schunk, Aaron	COL	UT	749.76	627	659		2		
948	Cantillo, Joey	CLE	P	749.79	541	541		1		
949	Jankowski, Travis	CIN	OF	749.79	540	540		1		
950	Tuivailala, Sam	SEA	P	749.80	599	695		2		
