Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
107	Greinke, Zack	HOU	P	108.42	62	138		174		
108	Paddack, Chris	SD	P	109.72	62	166		174		
109	Rosario, Eddie	CLE	OF	111.83	60	168		174		
110	Smith, Dominic	NYM	1B, OF	112.37	73	168		174		
111	Chapman, Matt	OAK	3B	113.29	73	148		174		
112	Buxton, Byron	MIN	OF	114.47	78	160		174		
113	Moore, Dylan	SEA	2B, OF	115.46	62	170		174		
114	Urias, Julio	LAD	P	118.36	78	167		174		
115	Moustakas, Mike	CIN	1B, 2B	119.59	82	173		174		
116	Morton, Charlie	ATL	P	121.87	86	162		174		
117	McCullers Jr., Lance	HOU	P	122.21	86	164		174		
118	Pressly, Ryan	HOU	P	122.87	80	231		174		
119	Stanton, Giancarlo	NYY	UT	123.21	76	177		174		
120	Contreras, Willson	CHC	C	124.03	66	159		174		
121	Correa, Carlos	HOU	SS	126.63	85	166		174		
122	Grandal, Yasmani	CWS	C	126.89	82	164		174		
123	Musgrove, Joe	SD	P	127.52	85	171		174		
124	Edman, Tommy	STL	2B, 3B, SS, OF	127.71	92	184		174		
125	Lopez, Pablo	MIA	P	128.07	96	166		174		
126	Verdugo, Alex	BOS	OF	128.90	94	170		174		
127	Bryant, Kris	CHC	3B	129.83	83	166		174		
128	Pham, Tommy	SD	OF	130.01	89	211		174		
129	Myers, Wil	SD	OF	130.27	93	174		174		
130	Hand, Brad	WAS	P	130.35	69	262		174		
131	Gausman, Kevin	SF	P	131.46	92	180		174		
132	Jansen, Kenley	LAD	P	135.71	87	275		174		
133	Hosmer, Eric	SD	1B	136.48	82	195		174		
134	d'Arnaud, Travis	ATL	C	137.02	74	181		174		
135	Sanchez, Sixto	MIA	P	137.07	74	207		174		
136	Semien, Marcus	TOR	SS	137.80	88	207		174		
137	Lewis, Kyle	SEA	OF	137.95	81	203		174		
138	Yastrzemski, Mike	SF	OF	138.20	84	180		174		
