"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Freddie Freeman","Braves","157","712","605","181","38","3","34","108","107","93","125","7","3",".299",".397",".541",".938",".395","12.1","5361"
"Cody Bellinger","Dodgers","151","692","595","166","36","4","36","109","104","87","130","15","4",".278",".372",".535",".907",".380","15.9","15998"
"Rhys Hoskins","Phillies","141","641","534","129","26","1","36","93","97","90","149","3","1",".242",".360",".498",".858",".366","162.9","16472"
"Jose Abreu","White Sox","154","661","599","171","32","2","35","90","102","44","136","2","1",".285",".345",".519",".864",".363","36.5","15676"
"Josh Bell","Nationals","136","622","542","146","27","2","32","86","94","70","130","2","1",".269",".355",".502",".857",".361","161.8","13145"
"Pete Alonso","Mets","149","679","589","148","28","1","41","95","109","69","173","2","1",".251",".343",".512",".856",".359","57.0","19251"
"Max Muncy","Dodgers","146","669","559","137","27","2","32","97","92","98","167","3","1",".245",".364",".472",".836",".359","93.7","13301"
"Luke Voit","Yankees","141","613","535","139","24","1","33","86","88","64","151","0","0",".260",".348",".494",".842",".359","58.8","14811"
"Anthony Rizzo","Cubs","157","716","605","161","32","2","27","95","91","82","105","7","3",".266",".372",".458",".830",".358","103.3","3473"
"Joey Votto","Reds","154","696","587","154","31","1","25","94","85","97","135","3","1",".262",".370",".450",".820",".355","360.4","4314"
"Paul Goldschmidt","Cardinals","151","679","577","152","27","2","25","90","84","89","147","5","2",".264",".365",".449",".814",".351","96.8","9218"
"Brandon Belt","Giants","126","570","484","120","28","2","23","76","74","77","126","3","1",".248",".353",".460",".813",".349","389.4","10264"
"Trey Mancini","Orioles","123","517","464","126","22","1","24","67","68","44","117","1","0",".271",".340",".479",".819",".349","167.8","15149"
"C.J. Cron","Tigers","120","518","461","115","21","1","29","69","78","40","129","1","1",".250",".326",".488",".814",".345","418.5","12546"
"Matt Olson","Athletics","146","621","535","124","25","2","33","80","86","73","166","2","1",".231",".331",".468",".798",".339","84.9","14344"
"Carlos Santana","Royals","144","610","514","125","25","2","22","73","75","87","97","2","1",".243",".352",".429",".781",".339","289.6","2396"
