"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"228","Caleb Thielbar","Twins","pitcher",-0.34,-3.21,-6.31446689663531,""
"229","Austin Voth","Nationals","pitcher",-0.34,-3.22,-6.33413813307342,""
"230","Yolmer Sanchez","Orioles","2b, 3b",-0.959205898902842,-3.22195825756606,-6.33799026783228,""
"231","John Hicks",NA,"1b, catcher",-3.0530655502173,-3.25520148663041,-6.40338380972141,""
"232","Shawn Armstrong","Orioles","pitcher",-0.36,-3.26,-6.41282307882589,""
"233","Sam Howard","Pirates","pitcher",-0.37,-3.27,-6.432494315264,""
"234","Miguel Castro","Mets","pitcher",-0.38,-3.28,-6.45216555170212,""
"235","Kyle Crick","Pirates","pitcher",-0.38,-3.29,-6.47183678814023,""
"236","Cody Reed","Rays","pitcher",-0.45,-3.41,-6.70789162539763,""
"237","Gerardo Reyes","Angels","pitcher",-0.45,-3.42,-6.72756286183575,""
"238","Jason Adam","Cubs","pitcher",-0.45,-3.42,-6.72756286183575,""
"239","Curt Casali","Giants","catcher",-3.10781780920175,-3.43911350505849,-6.76516148955242,""
"240","Trevor Gott","Giants","pitcher",-0.46,-3.44,-6.76690533471198,""
"241","Tommy Milone",NA,"pitcher",-0.47,-3.46,-6.80624780758821,""
"242","Tyler Webb","Cardinals","pitcher",-0.48,-3.47,-6.82591904402633,""
"243","Matt Foster","White Sox","pitcher",-0.48,-3.48,-6.84559028046444,""
"244","Ryan Helsley","Cardinals","pitcher",-0.49,-3.49,-6.86526151690256,""
"245","Nick Markakis",NA,"of",-1.04165489279099,-3.49890319398666,-6.88277520029916,""
"246","Alex Avila","Nationals","catcher",-3.12633185664473,-3.50130191331174,-6.88749377779839,""
"247","Dillon Tate","Orioles","pitcher",-0.5,-3.51,-6.90460398977879,""
"248","Wander Suero","Nationals","pitcher",-0.5,-3.51,-6.90460398977879,""
"249","Austin Brice","Red Sox","pitcher",-0.5,-3.51,-6.90460398977879,""
"250","Ryan Borucki","Blue Jays","pitcher",-0.52,-3.54,-6.96361769909314,""
"251","Joe Kelly","Dodgers","pitcher",-0.54,-3.58,-7.04230264484561,""
"252","Aristides Aquino","Reds","of",-1.0679739738331,-3.58730859327809,-7.05667955148593,""
"253","Keynan Middleton","Mariners","pitcher",-0.55,-3.6,-7.08164511772184,""
"254","Christian Arroyo","Red Sox","2b, 3b",-1.07620136666622,-3.61494428266161,-7.11104236948529,""
"255","Alex Claudio","Angels","pitcher",-0.58,-3.65,-7.18000129991242,""
"256","Tyson Ross",NA,"pitcher",-0.59,-3.66,-7.19967253635054,""
"257","Dan Altavilla","Padres","pitcher",-0.59,-3.67,-7.21934377278865,""
"258","Taylor Clarke","Diamondbacks","pitcher",-0.59,-3.67,-7.21934377278865,""
"259","James Hoyt","Marlins","pitcher",-0.61,-3.7,-7.278357482103,""
"260","Josh Rojas","Diamondbacks","of",-1.10257492567452,-3.70353267262604,-7.28530668595152,""
"261","John Gant","Cardinals","pitcher",-0.62,-3.72,-7.31769995497923,""
"262","Duane Underwood Jr.","Cubs","pitcher",-0.62,-3.72,-7.31769995497923,""
"263","Bruce Zimmermann","Orioles","pitcher",-0.62,-3.72,-7.31769995497923,""
"264","Justin Topa","Brewers","pitcher",-0.64,-3.75,-7.37671366429358,""
"265","Ryan Sherriff","Rays","pitcher",-0.64,-3.76,-7.3963849007317,""
"266","Braxton Garrett","Marlins","pitcher",-0.64,-3.77,-7.41605613716981,""
"267","Eric Yardley","Brewers","pitcher",-0.65,-3.77,-7.41605613716981,""
"268","Grant Dayton","Braves","pitcher",-0.68,-3.83,-7.53408355579851,""
"269","Casey Sadler","Mariners","pitcher",-0.68,-3.83,-7.53408355579851,""
"270","Tyler Chatwood","Blue Jays","pitcher",-0.69,-3.85,-7.57342602867474,""
"271","Ryne Stanek","Astros","pitcher",-0.7,-3.87,-7.61276850155098,""
"272","Jorge Alcala","Twins","pitcher",-0.7,-3.88,-7.63243973798909,""
"273","Johnny Davis",NA,"of",-1.16578075532303,-3.91584010838645,-7.70294166259284,""
"274","Austin Romine","Cubs","catcher",-3.25313678919455,-3.92723778380243,-7.72536229938811,""
"275","Ray Black","Brewers","pitcher",-0.74,-3.93,-7.73079592017967,""
"276","Nick Neidert","Marlins","pitcher",-0.74,-3.93,-7.73079592017967,""
"277","Johan Camargo","Braves","3b",-1.1721824064973,-3.93734315886456,-7.74524082160241,""
"278","Jorge Lopez","Orioles","pitcher",-0.75,-3.96,-7.78980962949402,""
"279","Andrew Cashner",NA,"pitcher",-0.76,-3.99,-7.84882333880837,""
"280","Jace Fry","White Sox","pitcher",-0.77,-3.99,-7.84882333880837,""
"281","Shaun Anderson","Giants","pitcher",-0.78,-4.02,-7.90783704812272,""
"282","Miguel Yajure","Pirates","pitcher",-0.79,-4.02,-7.90783704812272,""
"283","Brooks Raley","Astros","pitcher",-0.8,-4.05,-7.96685075743707,""
"284","Richard Lovelady","Royals","pitcher",-0.81,-4.06,-7.98652199387518,""
"285","Jett Bandy",NA,"catcher",-3.29808709529897,-4.07822518921656,-8.02237319449602,""
"286","Brandon Guyer",NA,"of",-1.22003599587403,-4.09808264933568,-8.06143527380239,""
"287","Ryan Boldt",NA,"of",-1.22054550149711,-4.09979407109759,-8.06480185201477,""
"288","Mike Montgomery",NA,"pitcher",-0.84,-4.13,-8.124220648942,""
"289","Jeff Hoffman","Reds","pitcher",-0.87,-4.18,-8.22257683113258,""
"290","Tyler Flowers",NA,"catcher",-3.33068753430787,-4.1877295759026,-8.23778186264721,""
"291","Blake Parker",NA,"pitcher",-0.88,-4.19,-8.24224806757069,""
"292","John King","Rangers","pitcher",-0.88,-4.19,-8.24224806757069,""
"293","Josh Tomlin","Braves","pitcher",-0.89,-4.22,-8.30126177688504,""
"294","Jacob Webb","Braves","pitcher",-0.89,-4.22,-8.30126177688504,""
"295","Adam Engel","White Sox","of",-1.25877639690981,-4.22821107657056,-8.31741397974813,""
"296","Cam Bedrosian",NA,"pitcher",-0.9,-4.23,-8.32093301332316,""
"297","Oliver Perez",NA,"pitcher",-0.9,-4.23,-8.32093301332316,""
"298","Brian Goodwin",NA,"of",-1.26180778999113,-4.23839348055854,-8.33744402738373,""
"299","Trent Thornton","Blue Jays","pitcher",-0.91,-4.25,-8.36027548619939,""
"300","Ryan Lavarnway",NA,"catcher",-3.35167393230558,-4.25822257266443,-8.37645030330055,""
"301","Jake Cave","Twins","of",-1.27532737522135,-4.2838055649934,-8.42677521239031,""
"302","Aaron Loup","Mets","pitcher",-0.93,-4.29,-8.43896043195185,""
"303","Bryse Wilson","Braves","pitcher",-0.94,-4.3,-8.45863166838997,""
"304","Robert Stephenson","Rockies","pitcher",-0.95,-4.31,-8.47830290482809,""
"305","Luis Guillorme","Mets","2b, 3b",-1.28670549117809,-4.32202448619091,-8.5019565559189,""
"306","Kyle McGowin","Nationals","pitcher",-0.98,-4.37,-8.59633032345678,""
"307","Wilson Garcia",NA,"catcher",-3.39013689317444,-4.38741908253122,-8.63059581255746,""
"308","Nick Dini",NA,"catcher",-3.39056433610285,-4.38885485693,-8.63342015832448,""
"309","James Kaprielian","Athletics","pitcher",-0.99,-4.39,-8.63567279633302,""
"310","Sean Hjelle","Giants","pitcher",-0.99,-4.39,-8.63567279633302,""
"311","Scott Oberg","Rockies","pitcher",-1.02,-4.45,-8.75370021496171,""
"312","Odubel Herrera",NA,"of",-1.32786068208,-4.46026415644292,-8.77389107978436,""
"313","Wes Benjamin","Rangers","pitcher",-1.03,-4.47,-8.79304268783794,""
"314","Jose De Leon","Reds","pitcher",-1.03,-4.47,-8.79304268783794,""
"315","Kyle Farmer","Reds","2b, 3b",-1.33445782517662,-4.48242386136217,-8.81748195927091,""
"316","Tim Federowicz","Dodgers","catcher",-3.41931618011749,-4.48543187063394,-8.8233990854302,""
"317","Edwin Encarnacion",NA,"1b, dh",-1.34651256863171,-4.52291556419927,-8.89713414529996,""
