Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status
Mauricio Llovera,Phillies,pitcher,20080,5,4.63,1.39,0,0,5,-3.36,-13.26,
Adam Warren,Yankees,pitcher,9029,10,5.36,1.5,0,0,9,-3.37,-13.27,
Justin Steele,Cubs,pitcher,sa828960,5,4.44,1.43,0,0,5,-3.37,-13.27,
Joe Gatto,Rangers,pitcher,sa828693,8,4.83,1.52,0,0,7,-3.37,-13.29,
Jasseel De La Cruz,Braves,pitcher,sa879559,5,4.53,1.45,0,0,5,-3.38,-13.3,
Emilio Vargas,White Sox,pitcher,sa736761,9,5.43,1.48,0,0,8,-3.38,-13.3,
Bryan Mata,Red Sox,pitcher,sa917784,5,4.43,1.49,0,0,5,-3.38,-13.32,
Jeremy Walker,Braves,pitcher,19981,5,4.46,1.41,0,0,4,-3.39,-13.32,
Clay Holmes,Pirates,pitcher,13649,5,4.46,1.53,0,0,5,-3.4,-13.35,
Max Kranick,Pirates,pitcher,sa919118,18,6.16,1.67,0,1,11,-3.4,-13.36,
Tyler Bashlor,Pirates,pitcher,15203,8,5.31,1.53,0,0,7,-3.41,-13.39,
Grant Gavin,NA,pitcher,sa918674,5,5.05,1.49,0,0,5,-3.41,-13.39,
Durbin Feltman,Red Sox,pitcher,sa3007959,5,4.9,1.52,0,0,5,-3.41,-13.4,
Hector Perez,Blue Jays,pitcher,18592,5,4.97,1.52,0,0,5,-3.42,-13.41,
Reggie McClain,Yankees,pitcher,19311,5,4.8,1.47,0,0,4,-3.42,-13.41,
Andre Jackson,Dodgers,pitcher,sa829605,10,5.08,1.64,0,0,9,-3.42,-13.43,
Anthony Castro,Blue Jays,pitcher,19789,5,5.02,1.54,0,0,5,-3.43,-13.43,
Jose Mujica,Rockies,pitcher,17821,8,5.39,1.51,0,0,6,-3.43,-13.45,
Gray Fenter,Cubs,pitcher,sa875233,25,5.85,1.79,0,1,21,-3.44,-13.47,
Joey Wentz,Tigers,pitcher,sa917946,9,5.55,1.54,0,0,7,-3.44,-13.48,
Ryan Rolison,NA,pitcher,sa3008244,28,6.07,1.68,0,1,18,-3.46,-13.54,
Jose Soriano,Pirates,pitcher,sa916702,14,6.2,1.95,0,1,11,-3.54,-13.76,
Jason Foley,NA,pitcher,sa915677,8,5.98,1.75,0,0,6,-3.59,-13.87,
Luis Oviedo,Pirates,pitcher,sa917344,12,6.12,1.83,0,0,8,-3.72,-14.23,
Ryan Castellani,Rockies,pitcher,16377,132,6.52,1.73,0,5,93,-3.92,-14.78,
