Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status
Shohei Ohtani,Angels,pitcher,19755,103,4.48,1.4,0,7,108,1.73,0.7599999999999998,
Greg Holland,Royals,pitcher,7196,58,4.67,1.47,14,3,57,1.73,0.7599999999999998,
Spencer Howard,Phillies,pitcher,23252,122,4.79,1.4,0,7,116,1.72,0.75,
Madison Bumgarner,Diamondbacks,pitcher,5524,173,5.3,1.41,0,8,131,1.71,0.71,
Kevin Ginkel,Diamondbacks,pitcher,19876,63,4.16,1.32,8,3,73,1.68,0.6299999999999999,
Alex Wood,NA,pitcher,13781,116,4.59,1.38,0,7,100,1.66,0.5700000000000003,
Keegan Akin,Orioles,pitcher,19362,150,5.18,1.48,0,8,147,1.64,0.5099999999999998,
Wade Miley,Reds,pitcher,8779,150,4.79,1.51,0,9,122,1.57,0.3099999999999996,
A.J. Puk,Athletics,pitcher,19343,81,3.92,1.29,0,5,91,1.54,0.2400000000000002,
Dean Kremer,Orioles,pitcher,19350,159,5.25,1.47,0,8,144,1.53,0.21999999999999975,
Kyle Cody,Rangers,pitcher,19686,122,4.81,1.42,0,7,112,1.46,0.03000000000000025,
Jonathan Loaisiga,Yankees,pitcher,19753,81,4.1,1.28,0,5,91,1.46,0.019999999999999574,
Brett Anderson,Brewers,pitcher,8223,141,4.64,1.43,0,8,90,1.4,-0.14000000000000012,
Rafael Dolis,Blue Jays,pitcher,4185,63,4.26,1.37,8,3,70,1.37,-0.2400000000000002,
Kolby Allard,Rangers,pitcher,18694,132,4.79,1.44,0,7,112,1.36,-0.25,
Jaime Barria,Angels,pitcher,18356,111,4.95,1.36,0,7,98,1.36,-0.27,
Kyle Freeland,Rockies,pitcher,16256,168,5.1,1.5,0,9,127,1.29,-0.43999999999999995,
Nick Pivetta,Red Sox,pitcher,15454,135,5.15,1.45,0,8,118,1.28,-0.4700000000000002,
Mike Leake,NA,pitcher,10130,152,5.07,1.4,0,8,95,1.27,-0.52,
Tanner Houck,Red Sox,pitcher,19879,157,5.09,1.53,0,9,135,1.26,-0.5299999999999998,
Devin Smeltzer,Twins,pitcher,19487,138,5.15,1.42,0,8,106,1.24,-0.5899999999999999,
Jordan Hicks,Cardinals,pitcher,19618,50,3.46,1.34,7,3,59,1.19,-0.7200000000000002,drafted
Randy Dobnak,Twins,pitcher,23798,149,4.93,1.46,0,9,95,1.19,-0.73,
Domingo German,Yankees,pitcher,17149,100,4.91,1.35,0,6,101,1.18,-0.7400000000000002,drafted
Chad Kuhl,Pirates,pitcher,14975,140,4.98,1.48,0,7,127,1.17,-0.7799999999999998,
Michael King,Yankees,pitcher,19853,121,5,1.4,0,7,102,1.17,-0.79,
Jonathan Hernandez,Rangers,pitcher,17464,63,4.05,1.34,6,3,67,1.1,-0.98,
Tyler Chatwood,NA,pitcher,4338,150,4.95,1.57,0,9,133,1.08,-1.02,
Carlos Rodon,NA,pitcher,16137,117,4.94,1.43,0,7,105,1.08,-1.0299999999999998,
Lou Trivino,Athletics,pitcher,15043,63,4.37,1.38,8,3,62,1.08,-1.0299999999999998,
Devin Williams,Brewers,pitcher,15816,63,3.7,1.31,3,3,80,1.07,-1.04,drafted
Lewis Thorpe,Twins,pitcher,15906,109,4.75,1.39,0,6,98,1.07,-1.0699999999999998,
Matt Moore,NA,pitcher,1890,136,5.21,1.43,0,7,115,1.02,-1.19,
Jesse Hahn,Royals,pitcher,13287,56,4.19,1.36,8,3,55,1,-1.2400000000000002,
Tanner Scott,Orioles,pitcher,17586,63,3.73,1.35,4,3,75,1,-1.2400000000000002,
Drew Rasmussen,Brewers,pitcher,25385,82,4.16,1.37,0,5,91,1,-1.2599999999999998,
Steven Brault,Pirates,pitcher,15291,155,4.94,1.54,0,8,130,0.99,-1.2799999999999998,
Julian Merryweather,Blue Jays,pitcher,16703,80,4.21,1.33,0,5,85,0.99,-1.29,
Eric Lauer,Brewers,pitcher,19316,137,5.09,1.46,0,7,116,0.94,-1.4,
Joe Ross,Nationals,pitcher,12972,127,4.96,1.44,0,7,102,0.92,-1.46,
Martin Perez,NA,pitcher,6902,134,4.9,1.49,0,8,103,0.9,-1.52,
Michael Fulmer,Tigers,pitcher,13218,150,5.2,1.46,0,8,108,0.86,-1.62,
Mike Mayers,Angels,pitcher,15451,63,4.27,1.31,5,3,66,0.85,-1.65,
Cole Hamels,NA,pitcher,4972,127,5,1.45,0,7,104,0.85,-1.6600000000000001,
Zack Britton,Yankees,pitcher,3240,63,3.52,1.41,4,4,61,0.84,-1.7000000000000002,
Tanner Roark,Blue Jays,pitcher,8753,135,5.34,1.45,0,8,108,0.82,-1.7400000000000002,
Brent Suter,Brewers,pitcher,13942,79,4.25,1.28,1,4,71,0.78,-1.85,
Daniel Hudson,Nationals,pitcher,7146,63,4.42,1.37,6,3,67,0.78,-1.85,
Justin Dunn,Mariners,pitcher,19268,141,5.24,1.48,0,7,124,0.77,-1.87,
Gregory Soto,Tigers,pitcher,19677,63,4.33,1.44,7,3,65,0.73,-1.98,
Chase Anderson,NA,pitcher,6895,132,5.39,1.43,0,7,111,0.72,-2.01,
Jake Arrieta,NA,pitcher,4153,145,5.14,1.48,0,8,105,0.71,-2.04,
Joseph Palumbo,Rangers,pitcher,17035,81,4.44,1.37,0,5,87,0.69,-2.1,
Chris Flexen,Mariners,pitcher,13896,110,4.89,1.43,0,6,96,0.63,-2.27,
Jon Lester,NA,pitcher,4930,135,5.21,1.45,0,7,105,0.62,-2.2800000000000002,
Scott Barlow,Royals,pitcher,14993,63,4.06,1.32,3,3,71,0.62,-2.2800000000000002,
Kirby Yates,NA,pitcher,9073,60,3.76,1.2,0,3,75,0.62,-2.3,
Reynaldo Lopez,White Sox,pitcher,16400,105,5.14,1.39,0,6,95,0.61,-2.31,
Shaun Anderson,Giants,pitcher,19453,108,4.63,1.43,0,6,85,0.61,-2.33,
Trent Thornton,Blue Jays,pitcher,17948,100,4.96,1.4,0,6,91,0.61,-2.33,
Tyler Duffey,Twins,pitcher,13758,63,4.09,1.29,3,3,66,0.6,-2.35,
Joely Rodriguez,Rangers,pitcher,11487,63,3.93,1.36,4,3,64,0.59,-2.37,
Corbin Martin,Diamondbacks,pitcher,19884,91,4.56,1.39,0,5,87,0.58,-2.4,
Kendall Graveman,Mariners,pitcher,15514,63,4.14,1.34,5,3,56,0.57,-2.42,
Chad Green,Yankees,pitcher,15552,56,3.82,1.15,0,3,71,0.56,-2.46,
Evan Marshall,White Sox,pitcher,12297,63,4.21,1.37,5,3,61,0.54,-2.51,
Jose Alvarado,Rays,pitcher,17780,55,3.48,1.32,2,3,68,0.49,-2.6399999999999997,
J.B. Wendelken,Athletics,pitcher,14506,60,4.17,1.33,4,3,62,0.48,-2.67,
Jordan Lyles,Rangers,pitcher,7593,157,5.41,1.48,0,7,124,0.47,-2.7,
Gio Gonzalez,NA,pitcher,7448,122,4.95,1.51,0,7,104,0.47,-2.7,
Erick Fedde,Nationals,pitcher,17425,141,4.97,1.52,0,8,99,0.46,-2.74,
Joe Jimenez,Tigers,pitcher,15761,55,4.7,1.34,6,3,58,0.46,-2.75,
Anibal Sanchez,NA,pitcher,3284,143,5.51,1.45,0,7,113,0.42,-2.84,
Brad Hand,NA,pitcher,9111,65,4.02,1.25,0,3,75,0.41,-2.88,drafted
Anthony Misiewicz,Mariners,pitcher,18152,60,3.92,1.25,2,3,59,0.4,-2.8899999999999997,
Grant Holmes,Athletics,pitcher,sa828669,89,4.51,1.39,0,5,78,0.39,-2.92,
Jakob Junis,Royals,pitcher,13619,96,4.89,1.36,0,5,82,0.39,-2.92,
A.J. Minter,Braves,pitcher,18655,60,4.01,1.34,3,3,65,0.39,-2.9299999999999997,
Daniel Norris,Tigers,pitcher,13475,72,4.25,1.29,0,4,70,0.39,-2.9299999999999997,
Austin Adams,Padres,pitcher,13801,55,3.42,1.26,0,3,70,0.34,-3.06,
Felix Pena,Angels,pitcher,13403,60,3.93,1.25,1,3,64,0.3,-3.17,
Daniel Ponce de Leon,Cardinals,pitcher,16110,90,4.78,1.44,0,5,93,0.28,-3.24,
Homer Bailey,NA,pitcher,8362,116,5.12,1.43,0,6,90,0.26,-3.2800000000000002,
Sam Selman,Giants,pitcher,13397,55,3.77,1.32,2,3,63,0.24,-3.35,
Pierce Johnson,Padres,pitcher,13435,60,4.06,1.33,2,3,67,0.23,-3.36,
Rowan Wick,Cubs,pitcher,14646,63,4.27,1.4,4,3,63,0.23,-3.36,
Trevor Rosenthal,NA,pitcher,10745,63,3.85,1.35,0,3,81,0.23,-3.38,drafted
Corey Knebel,Dodgers,pitcher,15010,56,4.02,1.3,2,3,64,0.22,-3.39,
Ryan Brasier,Red Sox,pitcher,5615,60,4.23,1.3,2,3,65,0.2,-3.44,
Michael Feliz,Pirates,pitcher,11903,60,4.64,1.42,5,3,64,0.18,-3.52,
Jeff Hoffman,Reds,pitcher,17432,74,4.5,1.35,0,4,77,0.16,-3.56,
Tyler Matzek,Braves,pitcher,10058,56,3.63,1.28,0,3,68,0.15,-3.59,
Nick Wittgren,Indians,pitcher,15594,63,4.5,1.33,3,3,62,0.13,-3.64,
Codi Heuer,White Sox,pitcher,23293,60,4.09,1.37,3,3,60,0.12,-3.66,
Will Harris,Nationals,pitcher,3192,60,3.92,1.32,2,3,57,0.11,-3.71,
Cody Stashak,Twins,pitcher,18088,60,4.62,1.29,3,3,59,0.11,-3.71,
Trevor Williams,NA,pitcher,16977,117,5.31,1.44,0,6,93,0.07,-3.81,
Connor Brogdon,Phillies,pitcher,21205,60,4.38,1.33,2,3,67,0.07,-3.8200000000000003,
Mychal Givens,Rockies,pitcher,10430,65,4.49,1.35,2,3,70,0.06,-3.84,
Emmanuel Clase,Indians,pitcher,21032,56,3.62,1.27,0,3,62,0.04,-3.88,
Enoli Paredes,Astros,pitcher,20447,60,4.21,1.37,2,3,67,0.01,-3.9699999999999998,
Andrew Miller,Cardinals,pitcher,6785,63,4.3,1.4,3,3,62,-0.02,-4.0600000000000005,
Brent Honeywell Jr.,Rays,pitcher,sa828706,83,4.17,1.26,0,0,83,-0.03,-4.09,
Kyle Wright,Braves,pitcher,19665,93,4.72,1.46,0,5,82,-0.04,-4.109999999999999,
James Hoyt,Marlins,pitcher,14605,60,4.33,1.41,4,3,55,-0.05,-4.140000000000001,
Blake Treinen,NA,pitcher,12572,65,3.88,1.34,0,3,67,-0.05,-4.140000000000001,
Tyler Anderson,NA,pitcher,12880,122,5.32,1.47,0,6,97,-0.08,-4.21,
Chris Stratton,Pirates,pitcher,13761,63,4.39,1.39,3,3,60,-0.08,-4.22,
Taylor Hearn,Rangers,pitcher,18325,56,3.99,1.29,0,3,67,-0.08,-4.23,
Jarlin Garcia,Giants,pitcher,18282,60,4.36,1.39,4,3,51,-0.09,-4.25,
Mike Fiers,NA,pitcher,7754,146,5.65,1.46,0,7,103,-0.1,-4.26,
Joey Lucchesi,Padres,pitcher,19320,75,4.59,1.4,0,5,66,-0.1,-4.26,
Colin Rea,Cubs,pitcher,12317,134,5.24,1.52,0,7,99,-0.11,-4.3,
Alex Young,Diamondbacks,pitcher,18333,73,4.4,1.36,0,4,65,-0.11,-4.3100000000000005,
Phil Maton,Indians,pitcher,18064,60,4.11,1.29,0,3,65,-0.12,-4.34,
Taylor Widener,Diamondbacks,pitcher,19266,56,4.24,1.29,1,3,61,-0.14,-4.38,
Collin McHugh,NA,pitcher,7531,74,4.68,1.37,0,4,73,-0.14,-4.38,
Ryan Borucki,Blue Jays,pitcher,16350,60,4.23,1.37,2,3,60,-0.16,-4.45,
Dellin Betances,Mets,pitcher,6216,54,4.08,1.38,2,3,61,-0.17,-4.46,
Blake Taylor,Astros,pitcher,16418,63,4.37,1.48,4,3,60,-0.19,-4.53,
Adam Ottavino,Yankees,pitcher,1247,60,4.52,1.41,2,3,71,-0.2,-4.54,
Casey Mize,Tigers,pitcher,20492,103,5.2,1.43,0,5,85,-0.2,-4.5600000000000005,drafted
Kyle McGowin,Nationals,pitcher,15071,55,3.93,1.26,0,3,57,-0.21,-4.59,
Matt Andriese,Red Sox,pitcher,12022,90,4.98,1.44,0,5,78,-0.24,-4.66,
Connor Seabold,Red Sox,pitcher,sa829464,83,4.99,1.4,0,5,69,-0.27,-4.73,
Ty Buttrey,Angels,pitcher,14719,56,3.95,1.28,0,3,57,-0.27,-4.74,
Matt Strahm,Padres,pitcher,13799,56,4.08,1.25,0,3,55,-0.28,-4.77,
Austin Voth,Nationals,pitcher,15047,66,4.44,1.3,0,3,63,-0.3,-4.82,
Nick Margevicius,Mariners,pitcher,20395,83,4.76,1.37,0,4,66,-0.3,-4.82,
Antonio Senzatela,Rockies,pitcher,15488,168,5.38,1.55,0,8,110,-0.3,-4.82,
Joakim Soria,NA,pitcher,6941,60,4.22,1.31,0,3,63,-0.3,-4.82,
Jake McGee,NA,pitcher,7550,54,4.15,1.27,0,3,59,-0.32,-4.890000000000001,
David Robertson,NA,pitcher,8241,50,3.9,1.29,0,3,59,-0.34,-4.9399999999999995,
Miguel Castro,Mets,pitcher,15684,60,3.97,1.38,0,3,66,-0.35,-4.95,
Keone Kela,Pirates,pitcher,14696,48,3.98,1.26,0,3,58,-0.35,-4.97,
Justin Wilson,NA,pitcher,4301,58,4.09,1.36,0,3,66,-0.36,-5,
Andrew Chafin,NA,pitcher,12988,56,3.94,1.34,0,3,60,-0.39,-5.08,
David Phelps,NA,pitcher,6316,60,4.24,1.35,0,3,65,-0.4,-5.11,
Richard Bleier,Marlins,pitcher,7803,63,3.88,1.38,2,3,41,-0.43,-5.17,
Felix Hernandez,Braves,pitcher,4772,107,5.34,1.48,0,6,83,-0.43,-5.17,
Ranger Suarez,Phillies,pitcher,17277,63,4.41,1.42,3,3,50,-0.44,-5.22,
Andres Munoz,Mariners,pitcher,20373,30,3.45,1.26,4,2,39,-0.45,-5.23,
Tim Hill,Padres,pitcher,16814,53,3.71,1.31,0,3,50,-0.48,-5.3100000000000005,
Ryan Thompson,Rays,pitcher,16647,56,4.29,1.37,2,3,50,-0.48,-5.3100000000000005,
Matt Foster,White Sox,pitcher,19647,56,4.62,1.38,2,3,58,-0.48,-5.32,
Jordan Zimmermann,NA,pitcher,4505,94,5.29,1.4,0,5,69,-0.48,-5.33,
Joe Kelly,Dodgers,pitcher,9761,55,3.8,1.36,0,3,55,-0.52,-5.4399999999999995,
Robert Stephenson,Rockies,pitcher,13594,60,4.85,1.42,2,3,66,-0.53,-5.45,
Luis Patino,Padres,pitcher,22815,64,4.59,1.42,0,4,65,-0.54,-5.49,drafted
Darwinzon Hernandez,Red Sox,pitcher,19848,56,4.04,1.45,0,3,71,-0.55,-5.5,
Joe Smith,Astros,pitcher,3281,56,4.19,1.3,0,3,53,-0.55,-5.51,
Bruce Zimmermann,Orioles,pitcher,20370,118,5.33,1.53,0,6,94,-0.56,-5.54,
Paul Fry,Orioles,pitcher,15832,56,3.98,1.38,0,3,59,-0.57,-5.57,
John Curtiss,Rays,pitcher,16128,53,4.5,1.39,2,3,54,-0.57,-5.58,
Duane Underwood Jr.,Cubs,pitcher,14677,56,4.19,1.34,0,3,57,-0.59,-5.61,
Keynan Middleton,Mariners,pitcher,15264,55,4.32,1.35,0,3,61,-0.6,-5.65,
Justin Topa,Brewers,pitcher,15145,55,4.16,1.33,0,3,55,-0.6,-5.65,
Austin Brice,Red Sox,pitcher,17237,55,4.64,1.39,2,3,55,-0.6,-5.66,
Josh Taylor,Red Sox,pitcher,17359,53,4.08,1.36,0,3,58,-0.61,-5.6899999999999995,
Brendan McKay,Rays,pitcher,20186,40,3.76,1.22,0,3,46,-0.62,-5.72,
Gerardo Reyes,Angels,pitcher,16306,50,4.18,1.33,0,3,57,-0.63,-5.74,
Jason Adam,Cubs,pitcher,11861,60,4.56,1.38,0,3,67,-0.63,-5.74,
Anthony Kay,Blue Jays,pitcher,20387,72,4.77,1.45,0,4,69,-0.65,-5.78,
Brett Martin,Rangers,pitcher,17369,53,3.94,1.34,0,3,51,-0.65,-5.8,
Phillips Valdez,Red Sox,pitcher,15605,63,4.54,1.44,2,3,55,-0.68,-5.88,
Jose De Leon,Reds,pitcher,15463,61,4.53,1.43,0,3,71,-0.69,-5.91,
Shawn Armstrong,Orioles,pitcher,12857,53,4.9,1.41,4,2,53,-0.7,-5.92,
Aaron Sanchez,NA,pitcher,11490,90,4.97,1.52,0,5,75,-0.73,-6.01,
Ryan Helsley,Cardinals,pitcher,18138,52,4.52,1.41,3,2,52,-0.76,-6.1,
Brandon Workman,NA,pitcher,11428,56,4.27,1.41,0,3,61,-0.76,-6.1,
Andrew Cashner,NA,pitcher,8782,80,4.86,1.44,0,4,64,-0.77,-6.109999999999999,
Brooks Raley,Astros,pitcher,10061,52,4.29,1.32,0,3,50,-0.79,-6.17,
Victor Arano,Phillies,pitcher,15915,55,4.5,1.36,0,3,58,-0.79,-6.18,
Kyle Finnegan,Nationals,pitcher,15009,53,4.06,1.39,0,3,54,-0.79,-6.1899999999999995,
Darren O'Day,NA,pitcher,3321,56,4.6,1.35,0,3,58,-0.8,-6.1899999999999995,
Archie Bradley,NA,pitcher,12918,64,4.53,1.4,0,3,61,-0.8,-6.21,
Dillon Tate,Orioles,pitcher,17796,60,4.67,1.42,2,3,50,-0.81,-6.23,
Aaron Loup,NA,pitcher,10343,50,4.09,1.35,0,3,50,-0.82,-6.25,
Burch Smith,Athletics,pitcher,12784,55,4.46,1.36,0,3,56,-0.82,-6.25,
Jose Cisnero,Tigers,pitcher,6399,56,4.49,1.38,0,3,59,-0.82,-6.25,
Clarke Schmidt,Yankees,pitcher,19899,71,4.94,1.44,0,4,64,-0.83,-6.29,drafted
Adam Kolarek,Dodgers,pitcher,10843,53,3.81,1.35,0,3,42,-0.84,-6.3100000000000005,
Alex Colome,NA,pitcher,6661,65,4.49,1.4,0,3,58,-0.84,-6.33,drafted
Trevor Cahill,NA,pitcher,6249,69,4.89,1.44,0,4,62,-0.85,-6.34,
Erik Swanson,Mariners,pitcher,16587,49,4.25,1.25,0,2,51,-0.86,-6.37,
James Kaprielian,Athletics,pitcher,18331,53,4.54,1.33,0,3,52,-0.88,-6.41,
Ivan Nova,Tigers,pitcher,1994,99,5.31,1.45,0,5,65,-0.89,-6.4399999999999995,
Logan Allen,Indians,pitcher,18555,62,4.71,1.43,0,4,55,-0.89,-6.45,
Wes Benjamin,Rangers,pitcher,19243,81,5.11,1.44,0,4,66,-0.9,-6.470000000000001,
Stephen Tarpley,Marlins,pitcher,15859,55,3.91,1.44,0,3,52,-0.91,-6.51,
Jeff Samardzija,NA,pitcher,3254,135,5.88,1.48,0,6,95,-0.92,-6.54,
Keury Mella,Diamondbacks,pitcher,15964,60,4.56,1.41,1,3,50,-0.93,-6.5600000000000005,
Ljay Newsome,Mariners,pitcher,19942,66,5.05,1.3,0,3,51,-0.94,-6.58,
Noe Ramirez,Reds,pitcher,12800,60,4.83,1.42,1,3,57,-0.94,-6.59,
Buck Farmer,Tigers,pitcher,14814,60,4.87,1.45,2,3,53,-0.95,-6.62,
Jose Urena,Tigers,pitcher,11589,118,5.46,1.5,0,5,86,-0.95,-6.62,
Wander Suero,Nationals,pitcher,15855,58,4.51,1.39,0,3,54,-0.97,-6.66,
Riley Smith,Diamondbacks,pitcher,19826,55,4.39,1.35,0,3,47,-0.97,-6.66,
Mike Foltynewicz,NA,pitcher,10811,92,5.47,1.48,0,5,73,-0.97,-6.67,
Jorge Alcala,Twins,pitcher,19459,56,4.61,1.39,0,3,56,-0.98,-6.7,
Mark Melancon,NA,pitcher,4264,63,4.35,1.41,0,3,51,-0.99,-6.71,
Caleb Thielbar,Twins,pitcher,10078,55,4.61,1.35,0,3,50,-1,-6.75,
Tommy Milone,NA,pitcher,7608,75,5.36,1.4,0,4,60,-1.02,-6.8100000000000005,
Casey Sadler,Mariners,pitcher,11209,56,4.49,1.37,0,3,49,-1.02,-6.82,
Adam Cimber,Marlins,pitcher,15288,56,4.4,1.44,2,3,39,-1.02,-6.82,
Ian Hamilton,Phillies,pitcher,19261,53,4.4,1.4,0,3,52,-1.03,-6.84,
Adam Plutko,Indians,pitcher,15846,72,5.25,1.35,0,3,59,-1.04,-6.85,
Anthony Bass,NA,pitcher,7982,56,4.38,1.4,0,3,50,-1.05,-6.88,
Jordan Weems,Athletics,pitcher,13190,56,4.88,1.49,2,3,55,-1.05,-6.88,
Jeurys Familia,Mets,pitcher,5114,51,4.14,1.44,0,3,52,-1.05,-6.9,
Shane Greene,NA,pitcher,10756,62,4.68,1.41,0,3,56,-1.05,-6.9,
Jace Fry,White Sox,pitcher,16159,55,4.32,1.47,0,3,58,-1.06,-6.93,
Cody Reed,Rays,pitcher,15232,42,3.74,1.3,0,2,45,-1.07,-6.9399999999999995,
Sal Romano,Reds,pitcher,13690,56,4.59,1.39,0,3,51,-1.09,-7,
Thomas Hatch,Blue Jays,pitcher,19264,56,4.71,1.39,0,3,53,-1.1,-7.029999999999999,
Shane McClanahan,Rays,pitcher,sa3008547,56,4.53,1.42,0,3,53,-1.11,-7.07,
David Hale,Phillies,pitcher,9756,56,4.48,1.38,0,3,46,-1.12,-7.09,
Sergio Romo,NA,pitcher,9817,63,5.02,1.4,0,3,59,-1.13,-7.1,
Hector Rondon,NA,pitcher,2391,55,4.66,1.4,0,3,52,-1.14,-7.140000000000001,
Bryse Wilson,Braves,pitcher,19990,46,4.44,1.35,0,3,42,-1.2,-7.3100000000000005,
Nick Nelson,Yankees,pitcher,20153,61,4.85,1.48,0,3,64,-1.21,-7.34,
Tommy Hunter,NA,pitcher,1157,52,4.57,1.37,0,3,44,-1.21,-7.34,
Brad Wieck,Cubs,pitcher,16390,42,4.19,1.33,0,2,49,-1.21,-7.34,
Jeff Brigham,Marlins,pitcher,16631,53,4.49,1.35,0,2,51,-1.22,-7.35,
Tyler Alexander,Tigers,pitcher,17735,51,4.48,1.29,0,2,44,-1.22,-7.35,
Jeremy Jeffress,NA,pitcher,9490,64,4.57,1.46,0,3,54,-1.22,-7.359999999999999,
Shun Yamaguchi,Blue Jays,pitcher,27460,55,4.77,1.43,0,3,54,-1.24,-7.42,
Braxton Garrett,Marlins,pitcher,21844,64,4.44,1.48,0,3,53,-1.25,-7.43,
Genesis Cabrera,Cardinals,pitcher,17490,42,4.03,1.35,0,2,47,-1.25,-7.45,
Trevor Gott,Giants,pitcher,15046,50,4.28,1.37,0,2,49,-1.26,-7.470000000000001,
Mike Montgomery,NA,pitcher,4869,71,4.88,1.48,0,4,51,-1.27,-7.5,
Ian Kennedy,NA,pitcher,6986,42,4.44,1.28,0,2,45,-1.28,-7.51,
Brandon Waddell,Twins,pitcher,18347,78,5.06,1.53,0,4,66,-1.28,-7.52,
Jacob Webb,Braves,pitcher,19274,55,4.62,1.45,0,3,52,-1.28,-7.54,
Nick Neidert,Marlins,pitcher,18699,62,4.78,1.42,0,3,49,-1.31,-7.609999999999999,
Ray Black,Brewers,pitcher,14244,42,4.32,1.36,0,2,50,-1.31,-7.62,
Sean Hjelle,Giants,pitcher,sa3007989,55,4.35,1.42,0,3,41,-1.32,-7.63,
Alex Claudio,Angels,pitcher,12890,52,4.17,1.41,0,3,37,-1.32,-7.640000000000001,
Cionel Perez,Astros,pitcher,19614,40,3.88,1.35,0,2,43,-1.32,-7.640000000000001,
Tyler Webb,Cardinals,pitcher,14974,56,4.61,1.44,0,3,48,-1.34,-7.68,
Jose Suarez,Angels,pitcher,19911,47,4.63,1.4,0,3,45,-1.34,-7.6899999999999995,
Nik Turley,Pirates,pitcher,5530,52,4.4,1.42,0,2,52,-1.38,-7.79,
Carlos Estevez,Rockies,pitcher,14542,50,4.66,1.37,0,2,51,-1.38,-7.8,
Matt Manning,Tigers,pitcher,sa917924,65,4.99,1.46,0,3,57,-1.38,-7.8100000000000005,drafted
Dan Altavilla,Padres,pitcher,16507,38,4.04,1.36,0,2,44,-1.41,-7.87,
Kyle Zimmer,Royals,pitcher,14169,55,4.67,1.48,0,3,52,-1.41,-7.87,
Brandon Brennan,Mariners,pitcher,13527,53,4.34,1.43,0,2,49,-1.45,-7.98,
Luis Cessa,Yankees,pitcher,13345,55,4.95,1.43,0,3,49,-1.45,-7.99,
Tony Watson,NA,pitcher,3132,58,4.9,1.41,0,3,44,-1.47,-8.05,
Cesar Valdez,Orioles,pitcher,9013,55,4.75,1.39,0,3,38,-1.48,-8.08,
Tyler Clippard,NA,pitcher,5640,50,4.98,1.35,0,2,50,-1.48,-8.09,
Conner Menez,Giants,pitcher,19199,43,4.33,1.39,0,2,45,-1.5,-8.129999999999999,
Sam Howard,Pirates,pitcher,16265,44,4.3,1.39,0,2,44,-1.5,-8.14,
Brandon Bielak,Astros,pitcher,19866,53,4.91,1.44,0,3,47,-1.51,-8.16,
Josh Tomlin,Braves,pitcher,9388,50,4.85,1.31,0,2,40,-1.55,-8.26,
Julio Teheran,NA,pitcher,6797,122,5.93,1.58,0,6,96,-1.55,-8.26,
Craig Stammen,Padres,pitcher,7274,42,4.21,1.34,0,2,36,-1.56,-8.280000000000001,
Grant Dayton,Braves,pitcher,11203,40,4.48,1.35,0,2,42,-1.56,-8.29,
Tyson Ross,NA,pitcher,7872,101,5.53,1.57,0,5,75,-1.57,-8.32,
Victor Gonzalez,NA,pitcher,sa880983,60,4.54,1.4,0,0,65,-1.57,-8.32,
Ryne Stanek,NA,pitcher,15947,35,4.35,1.34,0,2,41,-1.57,-8.33,
Blake Parker,NA,pitcher,5224,44,4.62,1.37,0,2,44,-1.58,-8.34,
Pedro Baez,NA,pitcher,5420,58,5.15,1.46,0,3,52,-1.58,-8.35,
Nate Jones,NA,pitcher,4696,43,4.49,1.39,0,2,44,-1.59,-8.36,
Taylor Clarke,Diamondbacks,pitcher,17611,42,4.5,1.34,0,2,39,-1.59,-8.379999999999999,
Kyle Nelson,Indians,pitcher,20515,42,4.49,1.38,0,2,43,-1.59,-8.379999999999999,
Forrest Whitley,Astros,pitcher,sa917930,46,4.9,1.46,0,3,46,-1.59,-8.39,
Tyson Miller,Cubs,pitcher,19976,73,5.51,1.49,0,4,56,-1.6,-8.41,
Travis Bergen,Diamondbacks,pitcher,18581,53,4.64,1.46,0,2,52,-1.61,-8.43,
Dylan Floro,Dodgers,pitcher,13394,42,4.16,1.36,0,2,35,-1.61,-8.43,
Kyle Ryan,Cubs,pitcher,11753,55,4.52,1.51,0,3,44,-1.62,-8.469999999999999,
Oliver Perez,NA,pitcher,1514,42,4.49,1.36,0,2,39,-1.64,-8.51,
Eric Yardley,Brewers,pitcher,15538,56,4.52,1.48,0,3,39,-1.64,-8.52,
Damon Jones,Phillies,pitcher,sa3004862,52,4.65,1.54,0,3,49,-1.66,-8.559999999999999,
Robert Gsellman,Mets,pitcher,13696,68,5.05,1.49,0,3,51,-1.69,-8.64,
Ryan Tepera,NA,pitcher,10291,40,4.45,1.39,0,2,40,-1.69,-8.65,
Wil Crowe,Pirates,pitcher,19800,76,5.28,1.54,0,4,56,-1.69,-8.67,
Wandy Peralta,Giants,pitcher,14295,42,4.12,1.41,0,2,36,-1.7,-8.67,
Zach Pop,Marlins,pitcher,sa829370,42,4.12,1.43,0,2,38,-1.7,-8.68,
Richard Lovelady,Royals,pitcher,19337,45,4.38,1.42,0,2,40,-1.7,-8.68,
Brandon Kintzler,NA,pitcher,9939,60,4.85,1.48,0,3,43,-1.71,-8.71,
Sean Doolittle,NA,pitcher,1581,46,5.01,1.36,0,2,43,-1.71,-8.719999999999999,
Jacob Barnes,Mets,pitcher,12323,40,4.3,1.42,0,2,39,-1.73,-8.77,
Jimmy Cordero,White Sox,pitcher,15690,42,4.36,1.42,0,2,39,-1.74,-8.79,
Colten Brewer,Red Sox,pitcher,12997,42,4.39,1.45,0,2,42,-1.75,-8.83,
