playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,auction_value,status,NFBC_ADP,salary
9847,Andrew McCutchen,Phillies,of,591,513.5,82.14981817024953,23.478504350047103,72.52218536445962,8.112090254999652,0.25333333333333335,4.3242344939003745,14.525038942327763,28.572547530737474,drafted,195.99,19
2434,Nelson Cruz,NA,dh,549.5,477.1666666666667,75.66430309620924,32.436489707937746,88.80075973535848,0.6672434469007074,0.26533333333333337,4.299186768111146,14.440904006301865,28.407043708810352,drafted,101.16,24
9218,Paul Goldschmidt,Cardinals,1b,611,543.1666666666666,81.64360586843327,24.19499939706919,76.04910731933036,5.583285360825638,0.266,4.287643175150555,14.402129250325176,28.33076896954558,drafted,96.76,26
14221,Jorge Soler,Royals,"dh, of",609.6666666666666,508.1666666666667,78.59648417581639,32.24792067404842,89.2057464680372,2.2472518358456046,0.24466666666666667,4.264379470849862,14.32398681577705,28.177053138960957,drafted,144.15,9
12144,Max Kepler,Twins,of,602,530.3333333333334,85.3086652665621,27.056692882697828,75.6947183182414,5.438284645248684,0.2475,4.226528704004454,14.196846656472085,27.926952725514187,drafted,186.32,18
19252,Cavan Biggio,Blue Jays,2b,598,519,82.36369143235672,20.653920186114163,65.37054557250303,11.718730521380854,0.23566666666666666,4.13826524007684,13.900371002216579,27.343748456213664,drafted,60.72,5
15672,Austin Meadows,Rays,of,522,467.1666666666667,69.51776054246844,23.306345950117652,68.10595256797343,10.308799985276968,0.2535,4.118709408107664,13.834683255332694,27.21453253620966,drafted,95.86,11
6012,Didi Gregorius,NA,ss,563.5,525.8333333333334,71.41473826933239,23.234737796791027,80.3978122981581,6.32562739725548,0.26283333333333336,4.081798862747334,13.710701285923404,26.970644672778317,drafted,165.87,21
9077,Lorenzo Cain,Brewers,of,590,523,72.767267074584,11.06182644279688,53.17058872694779,15.785570348567333,0.26933333333333337,4.020295264211773,13.504111618993354,26.56425725439305,drafted,251.37,19
3516,Eric Hosmer,Padres,1b,608,567.5,74.53159284080928,21.289764688865205,84.21815439084729,5.517141640988281,0.26166666666666666,3.9940872111631838,13.41607916107038,26.391086524989912,drafted,136.48,22
14551,Anthony Santander,Orioles,of,594,552.3333333333334,74.2199564783515,28.041695170519183,82.55673271390349,3.098897757017887,0.259,3.974847409834954,13.351452956379266,26.263958789732214,drafted,157.58,11
17620,Myles Straw,Astros,"of, ss",495.3333333333333,432.3333333333333,59.069134928431694,3.586082275445838,37.858864555293,25.670417907635134,0.2565,3.9360251443135152,13.221049547562352,26.00743916101483,drafted,462.41,6
14162,Carlos Correa,Astros,ss,602.5,528.6666666666666,76.93550572193884,25.132271658826543,84.88971512661115,2.5755557111244705,0.2635,3.9100826282240675,13.13390902431073,25.83602297739245,drafted,126.63,22
10071,Jonathan Villar,NA,"2b, ss",425.3333333333333,408.8333333333333,51.35508050794184,10.695035147733764,40.869701759477024,24.618161370776793,0.244,3.909188748208751,13.130906494718369,25.83011663044007,drafted,148.94,16
15429,Kris Bryant,Cubs,"3b, of",614.3333333333334,541,86.74223183852114,25.08784180437837,75.38333807663244,3.4195700629546293,0.256,3.9007052383491048,13.10241051207617,25.774061509230958,drafted,129.83,25
19755,Shohei Ohtani,Angels,dh,440,411.5,61.54380053106303,20.30299149448254,63.128378339262014,12.28379018330517,0.25866666666666666,3.8833436385412843,13.044093158180258,25.659344063537777,drafted,234.62,23
16478,Kyle Schwarber,Nationals,of,538.5,464.5,75.20594853995011,31.256323068437062,81.29807347333774,3.301787654418345,0.24016666666666667,3.8739259535012494,13.012459295089336,25.597116343506524,drafted,190.24,28
16478,Kyle Schwarber,Nationals,of,538.5,464.5,75.20594853995011,31.256323068437062,81.29807347333774,3.301787654418345,0.24016666666666667,3.8739259535012494,13.012459295089336,25.597116343506524,drafted,190.24,28
17919,Ian Happ,Cubs,of,575.5,513,77.12618619424896,25.448384298505264,71.87509964792734,7.095698231079123,0.2425,3.8700200485909395,12.99933941895697,25.571307924962667,drafted,163.98,4
13419,Christian Walker,Diamondbacks,1b,610,537.8333333333334,78.46996670555858,24.947390296376074,81.82389712837583,3.860431554355895,0.25083333333333335,3.81069251864941,12.800059133864112,25.179298964410986,drafted,198.78,5
21618,Alec Bohm,Phillies,3b,602,539.4,75.83817780426875,19.121566280453813,77.21238563175265,4.818171769653157,0.277,3.7908950111484714,12.733559602486297,25.048486163935294,drafted,106.33,5
14854,Mike Yastrzemski,Giants,of,612.5,552.3333333333334,82.13786292211499,22.99289623509653,74.06244030860121,5.608063369986967,0.24933333333333332,3.7863586663376534,12.71832208816419,25.01851208923936,drafted,138.2,6
13757,Chris Taylor,Dodgers,"of, ss",576.3333333333334,513,75.24164222570852,18.560433853000873,70.02233157570357,9.200904925517312,0.25316666666666665,3.7800156134194616,12.697015868351194,24.976600120484967,drafted,213.91,5
14350,Raimel Tapia,Rockies,of,550,509,68.23991772644493,8.698180904388401,52.889080988349086,15.090066204506206,0.28150000000000003,3.778519080764112,12.691989037561125,24.966711722784382,drafted,249.23,1
18882,Brandon Lowe,Rays,2b,540.5,490.6666666666667,72.4855538387458,26.13636900514507,76.73508562033516,5.14350623529562,0.24883333333333332,3.7104022698097707,12.463185689099195,24.51662724624165,drafted,71.82,5
18577,Ke'Bryan Hayes,Pirates,3b,588,506.8,73.21889021720169,16.144622355201424,65.70142920727181,9.087673472234801,0.2706,3.6924097771805897,12.402749175659176,24.39774115170425,drafted,141.82,22
12037,Jon Berti,Marlins,"of, ss",478.3333333333333,397,58.47888122002564,8.051364077274398,39.70575419407999,23.32170386969242,0.24416666666666667,3.6562250686664206,12.281205281352229,24.158649283452114,drafted,264.01,11
13145,Josh Bell,Nationals,1b,566.5,515,75.12867366756379,26.06030505688132,84.19812639262847,1.5977121550503102,0.25983333333333336,3.6379712839144345,12.21989109158258,24.038036691055083,drafted,155.57,12
4106,Michael Brantley,Astros,of,578,523,74.05853679454577,16.450140919890963,72.51062023322218,5.361830071304507,0.2866666666666667,3.636784067263272,12.215903248620908,24.030192110877373,drafted,152.32,25
5297,Aaron Hicks,Yankees,of,579,477.8333333333333,79.87085128161574,22.174599011526,69.42784240389618,7.757110231981205,0.23783333333333334,3.6293135890843216,12.190810024231684,23.98083063588186,drafted,282.44,13
18360,Austin Riley,Braves,"3b, of",604.6666666666666,535.1666666666666,75.12327394147346,28.526448531535834,87.64070862250128,1.152956130476538,0.24633333333333335,3.603869458649412,12.105343570934105,23.81270755484747,drafted,208,5
18015,Paul DeJong,Cardinals,ss,611,559.8333333333334,75.59575593042385,24.881044356711254,79.63848516712457,4.496996755192154,0.24416666666666667,3.6030406073435133,12.102559471803364,23.807230887620673,drafted,223.04,14
14712,Manuel Margot,Rays,of,477.5,420.5,56.47890260776465,11.38855160054128,48.53269036429086,19.425269017232896,0.25083333333333335,3.598905991561714,12.088671359276878,23.779911253101908,drafted,261.62,3
19950,Andres Gimenez,Indians,"2b, ss",462,423.8,56.570226422246236,9.558415770117909,44.48390083391132,20.57562196557898,0.2544,3.5906716335435807,12.06101227394116,23.72550241237181,drafted,169.87,1
19950,Andres Gimenez,Indians,"2b, ss",462,423.8,56.570226422246236,9.558415770117909,44.48390083391132,20.57562196557898,0.2544,3.5906716335435807,12.06101227394116,23.72550241237181,drafted,169.87,1
18373,Ryan Mountcastle,Orioles,"1b, of",595,521.2,69.49904913246232,23.322705256951572,80.17143170907293,2.5130074656724783,0.2752,3.5573707675385613,11.94915516345873,23.505465645613377,drafted,152.96,3
18900,Leody Taveras,Rangers,of,532,492.2,63.5103465940225,11.94949106021606,46.1406215494838,18.559281944005207,0.24659999999999999,3.5529627411573474,11.934348668821066,23.476339439929657,drafted,196.83,3
17954,Sam Hilliard,Rockies,of,518.5,447.5,63.19840583651093,19.472970409669866,59.14943678562196,14.503727341824343,0.22783333333333333,3.4949974696325494,11.7396441893605,23.093331654826745,drafted,379.31,4
5222,Justin Upton,Angels,of,567.5,480,73.23338174990634,28.003935762374553,79.90591807764751,4.335329402875075,0.231,3.4836955407267145,11.701681179326647,23.01865372019889,drafted,366.21,9
20126,Dylan Carlson,Cardinals,of,574,501.2,69.81752574953491,17.63786300077913,67.12076305985951,10.118405030661574,0.247,3.448155778371465,11.582303649514323,22.783823358765243,drafted,153.47,0
17027,Alex Verdugo,Red Sox,of,583,524.6666666666666,76.50365025190693,15.704197339559096,62.86237834913509,6.187191280488414,0.28533333333333333,3.4309385555550334,11.524471255771532,22.670059889655576,drafted,128.9,12
5760,Avisail Garcia,Brewers,of,586.5,525.5,70.4736283461529,19.808055800643135,69.58358413551007,6.837364380598909,0.26083333333333336,3.4175712887310143,11.479570806583304,22.581735154439652,drafted,318.03,17
11200,Kole Calhoun,Diamondbacks,of,586.5,516.1666666666666,77.8910846342571,25.9112816409411,76.69335059077048,3.798027963415256,0.238,3.4001863893819664,11.421175189877141,22.466863756122,drafted,256.9,18
9785,Kyle Seager,Mariners,3b,605,525,71.16470077449414,24.503473804260064,80.38832554300775,4.60142076181369,0.24083333333333332,3.39326379024752,11.397922282998064,22.421122413212814,drafted,265.63,11
5038,Josh Donaldson,Twins,3b,564.5,459.6666666666667,79.37721003883911,26.314396474170042,74.12827096988167,2.894901880504067,0.245,3.3685915592257265,11.315048628275788,22.258099687559547,drafted,195.15,20
19294,Nick Solak,Rangers,of,562.5,504.1666666666667,68.53622995590385,16.348718101184527,63.81296099858909,8.658775034186645,0.26733333333333337,3.3261096561864925,11.172352551811974,21.977398861668426,drafted,169.13,16
15983,Clint Frazier,Yankees,of,555,485.1666666666667,72.2372388004578,23.14403573654993,72.30064370485175,5.741968064142433,0.24483333333333332,3.316762858415279,11.140956797996024,21.915639532021782,drafted,185.58,3
15487,Victor Reyes,Tigers,of,538.5,514,62.86555935482563,9.188397939783407,48.59698240088408,15.253519585413128,0.26983333333333337,3.257898733307287,10.943233082803038,21.526692536923385,drafted,201.82,2
7304,Salvador Perez,Royals,catcher,528.5,477.1666666666667,62.2575683391902,27.51294894342256,82.9476314977463,1.5417167628710688,0.26016666666666666,3.2571817665127507,17.94082480207132,35.29182065763643,drafted,76.15,8
15653,Dominic Smith,Mets,"1b, of",578.6666666666666,517.1666666666666,72.56390122703789,23.346913048084296,79.95491904519332,2.0037590605413365,0.25933333333333336,3.2305925067383274,10.85151187646198,21.346265583290965,drafted,112.37,1
18289,Brian Anderson,Marlins,"3b, of",632.3333333333334,555.3333333333334,74.89245581058583,22.08772744673771,79.27252853881568,2.81753312038327,0.2535,3.2125501125339717,10.790907744377849,21.227049762155588,drafted,228.23,15
