"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Gleyber Torres","Yankees","149","644","565","157","27","1","34","91","107","67","129","6","7","2",".278",".357",".511",".869",".362","-7.5","-0.2","4.3","71.9","16997"
"DJ LeMahieu","Yankees","151","651","590","177","28","3","20","96","77","49","89","4","7","3",".299",".354",".458",".811",".344","4.6","-0.1","4.1","28.4","9874"
"Ozzie Albies","Braves","151","651","594","168","37","5","26","97","89","46","110","5","16","4",".283",".337",".494",".832",".347","4.5","2.1","3.9","31.3","16556"
"Jose Altuve","Astros","154","665","596","169","31","2","24","97","81","57","105","6","13","6",".283",".350",".464",".814",".345","-4.2","0.0","3.6","100.3","5417"
"Ketel Marte","Diamondbacks","149","644","581","167","35","7","20","85","74","51","87","6","7","2",".287",".349",".475",".824",".346","0.6","0.3","3.3","81.4","13613"
"Yoan Moncada","White Sox","147","637","564","144","27","5","24","84","81","63","188","4","8","4",".255",".333",".449",".781",".330","1.3","0.3","3.1","86.4","17232"
"Jeff McNeil","Mets","151","651","582","169","36","3","18","83","76","47","83","15","7","4",".291",".357",".456",".812",".344","-3.2","-1.2","3.0","86.0","15362"
"Cavan Biggio","Blue Jays","143","616","516","120","26","2","21","85","70","88","163","5","14","4",".232",".348",".412",".760",".328","2.1","0.6","2.9","62.0","19252"
"Brandon Lowe","Rays","133","574","508","125","26","3","27","75","82","54","164","7","6","2",".245",".324",".466",".789",".332","0.9","0.9","2.8","72.5","18882"
"Max Muncy","Dodgers","146","630","520","123","21","1","32","92","100","96","164","8","4","1",".237",".362",".467",".829",".351","0.8","0.0","2.7","93.7","13301"
"Javier Baez","Cubs","154","665","623","162","34","4","31","89","100","32","186","5","13","5",".261",".300",".479",".779",".321","-0.3","1.0","2.6","74.1","12979"
"Luis Arraez","Twins","122","525","474","148","28","2","5","65","47","44","44","2","5","2",".312",".371",".411",".782",".338","-0.6","-0.4","2.4","365.3","18568"
"Nick Madrigal","White Sox","143","616","565","168","28","3","7","67","55","34","36","9","21","10",".297",".344",".389",".733",".316","3.3","-1.5","2.3","194.7","20521"
"David Fletcher","Angels","151","651","593","165","33","3","8","78","54","46","71","3","8","3",".279",".333",".385",".718",".309","3.1","-0.1","2.1","226.5","17992"
"Whit Merrifield","Royals","156","672","616","175","35","4","16","89","66","42","107","6","26","8",".284",".333",".431",".764",".323","1.8","1.8","2.0","41.0","11281"
"Kolten Wong","","126","546","477","126","23","4","10","64","53","48","84","13","14","5",".263",".344",".390",".734",".316","3.3","0.9","2.0","413.6","12532"
"Jean Segura","Phillies","144","623","571","160","29","4","15","79","70","40","92","6","12","5",".279",".331",".421",".751",".319","0.4","0.8","1.9","189.0","5933"
"Cesar Hernandez","Indians","131","567","501","134","26","2","10","68","49","56","109","5","7","3",".266",".344",".385",".729",".316","-0.7","0.1","1.6","370.2","10556"
"Luis Urias","Brewers","136","588","515","127","25","4","13","67","63","57","132","10","7","4",".246",".332",".386",".718",".311","3.3","-0.7","1.5","408.9","16622"
"Gavin Lux","Dodgers","112","483","436","110","20","4","18","63","68","41","108","2","8","4",".252",".317",".445",".762",".321","-1.0","-0.3","1.4","247.7","19955"
"Keston Hiura","Brewers","147","637","572","142","28","3","30","82","90","45","186","15","12","6",".249",".318",".464",".782",".327","-4.9","-0.5","1.4","66.9","20003"
"Jake Cronenworth","Padres","112","483","431","115","24","4","8","58","50","42","83","5","10","4",".267",".338",".399",".737",".318","0.9","-0.2","1.3","177.1","18036"
"Jonathan Schoop","","113","490","454","118","22","2","22","62","67","23","112","8","1","0",".260",".304",".458",".762",".318","-2.3","0.0","1.3","420.4","11265"
"Adam Frazier","Pirates","110","476","429","114","24","3","10","56","46","36","67","6","5","4",".266",".329",".404",".733",".313","0.6","-0.5","1.2","485.5","15223"
"Tommy La Stella","","105","455","404","111","21","2","11","57","48","40","43","5","2","1",".275",".345",".419",".764",".327","-3.9","-0.3","1.2","317.8","12371"
"Andres Gimenez","Indians","107","462","420","107","20","5","10","55","45","24","100","12","22","10",".254",".310",".393",".703",".301","1.1","0.0","1.1","179.2","19950"
"Nico Hoerner","Cubs","121","525","474","127","23","4","8","65","59","39","76","7","11","5",".268",".329",".387",".716",".309","0.6","-0.1","1.1","457.2","21479"
"Joey Wendle","Rays","96","413","377","97","21","3","7","45","40","23","79","8","11","4",".256",".310",".380",".690",".295","1.7","0.5","1.0","306.0","13853"
"Jurickson Profar","Padres","105","455","401","100","21","2","15","58","57","42","68","8","9","2",".250",".330",".420",".750",".320","-0.4","0.8","1.0","233.9","10815"
"Enrique Hernandez","Red Sox","104","448","399","98","22","3","17","59","63","39","93","4","3","1",".245",".316",".440",".756",".318","-2.1","0.2","1.0","442.6","10472"
"Ty France","Mariners","107","462","415","109","21","2","15","54","58","29","98","14","1","1",".261",".328",".432",".759",".323","-0.1","-0.9","1.0","333.2","17982"
"Donovan Solano","Giants","126","546","510","144","29","2","7","56","55","26","99","5","2","1",".282",".320",".384",".705",".302","-1.5","-0.6","0.9","484.2","8623"
"Mauricio Dubon","Giants","113","490","452","120","20","2","11","54","52","28","86","3","10","6",".264",".310",".392",".702",".299","1.3","-0.6","0.8","275.1","16530"
"Starlin Castro","Nationals","118","511","477","132","24","2","16","60","67","27","93","2","3","2",".277",".317",".441",".758",".318","-2.8","-0.3","0.8","333.6","4579"
"Jonathan Villar","","96","413","370","92","15","2","11","49","42","36","109","2","24","7",".249",".317",".388",".705",".303","-2.4","1.9","0.8","143.6","10071"
"Tony Kemp","Athletics","94","406","358","91","17","3","6","47","35","36","58","5","10","4",".254",".329",".364",".693",".301","-1.9","-0.3","0.8","599.6","14894"
"David Bote","Cubs","102","441","385","90","17","2","15","52","58","45","121","6","5","2",".234",".321",".409",".730",".311","-0.7","0.3","0.8","502.8","14593"
