"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Franklin Barreto","Angels","31","101","93","21","4","1","3","12","11","6","36","2","1",".222",".278",".389",".668",".288","600.3","15519"
"Cole Tucker","Pirates","76","303","276","65","13","3","5","34","27","22","70","5","2",".237",".296",".359",".656",".287","598.9","17326"
"Ehire Adrianza","","63","216","193","45","10","1","3","24","19","18","46","2","1",".235",".305",".349",".653",".287","597.8","8418"
"Lucius Fox","Royals","21","86","77","18","3","1","1","9","7","7","19","4","1",".235",".307",".341",".647",".287","999.0","sa914200"
"Chris Owings","","34","124","114","26","5","1","4","14","13","8","38","3","1",".224",".281",".380",".660",".286","999.0","10030"
"C.J. Chatham","Phillies","26","108","102","26","5","0","1","11","10","4","24","1","0",".259",".294",".360",".654",".284","999.0","sa873984"
"Omar Estevez","","9","40","37","9","2","0","1","4","4","3","10","0","0",".236",".285",".372",".657",".283","999.0","sa914242"
"Jordy Mercer","Yankees","54","200","184","43","9","1","5","21","21","14","39","0","0",".235",".295",".367",".662",".282","999.0","6547"
"Kevin Smith","","16","67","62","14","3","0","2","8","8","4","21","2","1",".219",".268",".388",".656",".281","999.0","sa915864"
"Kyle Holder","Reds","40","171","156","37","7","1","3","18","17","11","31","2","1",".236",".292",".348",".640",".280","999.0","sa857840"
"Jack Mayfield","Braves","24","91","83","19","4","0","3","10","10","5","22","1","0",".224",".274",".371",".645",".279","999.0","15402"
"Erik Gonzalez","Pirates","113","435","405","98","22","2","7","41","41","20","113","6","3",".242",".280",".358",".639",".277","574.9","13369"
"Ronald Torreyes","","26","88","84","20","4","0","2","9","8","3","11","0","0",".244",".276",".362",".638",".276","999.0","11400"
"Richie Martin Jr.","Orioles","116","457","417","94","17","4","8","46","37","27","106","13","4",".226",".282",".339",".621",".272","599.4","17736"
"Jose  Garcia","Reds","111","432","405","95","21","1","7","43","39","18","124","7","3",".235",".277",".347",".624",".272","999.0","23378"
"Wilmer Difo","","23","57","51","12","2","0","1","7","5","4","13","1","1",".238",".294",".335",".629",".269","999.0","14320"
"Nick Maton","Phillies","5","21","19","4","1","0","0","2","2","2","5","0","0",".220",".286",".315",".601",".267","999.0","sa876186"
"Andrew Velazquez","","15","49","44","10","2","0","0","6","4","4","15","2","0",".225",".285",".294",".579",".260","999.0","14196"
"Alfredo Rodriguez","","11","47","44","10","2","0","0","4","4","2","9","1","0",".230",".266",".295",".562",".247","999.0","sa922180"
